,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
0,20241011,1,510010,510010,1000000,0.3,-19466.66,-16922.66,1.641,1640923.34,0.0,0,180治理ETF
1,20241011,1,510020,510020,100000,0.4,48.35,530.35,3.1716,317164.35,0.0,0,超大盘ETF
2,20241011,1,510030,510030,500000,0.5,227.84,815.84,1.003,501288.84,0.0,0,价值ETF
3,20241011,1,510050,510050,900000,0.5,11961.05,12438.27,2.8476,2562816.0,0.0,0,上证50ETF
4,20241011,1,510060,510060,1000000,0.5,20128.2,40791.2,2.5164,2516445.2,0.0,0,央企ETF
5,20241011,1,510090,510090,500000,0.4,55177.05,47174.05,2.5559,1277972.05,0.0,0,ESGETF基金
6,20241011,1,510100,510100,600000,1.0,6130.12,6130.12,1.3918,835069.12,0.0,0,上证50ETF易方达
7,20241011,1,510130,510130,400000,1.0,7969.34,32850.34,5.8498,2339916.34,0.0,0,中盘ETF
8,20241011,1,510150,510150,2000000,0.3,-57961.61,-58126.61,0.5443,1088568.39,0.0,0,消费ETF
9,20241011,1,510160,510160,2000000,0.5,-349.53,3101.47,0.8573,1714675.47,0.0,0,产业升级ETF
10,20241011,1,510170,510170,2000000,0.5,2656.95,1282.95,0.926,1851424.95,0.0,0,大宗商品ETF
11,20241011,1,510180,510180,500000,0.5,-39286.1,-37060.1,3.8254,1912717.9,0.0,0,上证180ETF
12,20241011,1,510190,510190,500000,0.5,-74030.72,-74030.72,3.8751,1937562.28,0.0,0,上证50ETF指数基金
13,20241011,1,510200,510200,500000,0.8,2058.79,-562.21,1.2497,624863.79,0.0,0,上证券商ETF
14,20241011,1,510210,510210,3000000,0.5,28.3,-4212.7,0.81,2428620.3,0.0,0,上证指数ETF
15,20241011,1,510230,510230,1000000,0.3,-2413.82,2439.18,1.2886,1288628.18,0.0,0,金融ETF
16,20241011,1,510270,510270,1000000,0.5,-45408.38,-46530.38,1.366,1366020.62,0.0,0,国企ETF
17,20241011,1,510290,510290,2000000,1.0,-8873.65,-10680.65,1.9571,3914137.35,0.0,0,上证380ETF
18,20241011,1,510300,510300,900000,0.5,6170.56,9904.56,4.081,3672871.56,0.0,0,沪深300ETF
19,20241011,1,510310,510310,900000,0.8,3727.06,6287.06,3.9996,3599599.06,0.0,0,沪深300ETF易方达
20,20241011,1,510330,510330,900000,0.5,3995.26,4892.44,4.1757,3758119.24,0.0,0,沪深300ETF华夏
21,20241011,1,510350,510350,900000,0.5,8182.28,8875.28,4.0291,3626192.28,0.0,0,工银沪深300ETF
22,20241011,1,510360,510360,3000000,0.5,15618.02,17837.02,1.4837,4451000.02,0.0,0,沪深300ETF基金
23,20241011,1,510370,510370,3000000,0.5,36827.49,38250.49,0.8806,2641706.49,0.0,0,300指数ETF
24,20241011,1,510380,510380,3000000,0.5,-43539.09,-41818.09,1.1436,3430887.91,0.0,0,国寿300ETF
25,20241011,1,510390,510390,900000,0.5,14765.21,9987.21,4.3246,3892118.21,0.0,0,沪深300ETF平安
26,20241011,1,510410,510410,1000000,0.4,73.2,-508.8,1.2878,1287786.2,0.0,0,资源ETF
27,20241011,1,510500,510500,400000,0.6,-30.53,-2171.53,5.7836,2313431.47,0.0,0,中证500ETF
28,20241011,1,510510,510510,2000000,0.5,-24537.03,-27531.03,1.7792,3558374.97,0.0,0,中证500ETF基金
29,20241011,1,510530,510530,500000,0.5,17738.43,17256.43,5.9867,2993366.43,0.0,0,工银中证500ETF
30,20241011,1,510550,510550,2000000,0.5,10507.29,3308.29,1.4333,2866630.29,0.0,0,方正中证500ETF
31,20241011,1,510560,510560,2000000,0.5,7011.98,8828.98,1.3123,2624510.98,0.0,0,国寿500ETF
32,20241011,1,510570,510570,2500000,0.5,42447.0,38713.0,0.8889,2222130.0,0.0,0,兴业中证500ETF
33,20241011,1,510580,510580,800000,0.7,7357.2,7335.2,2.8485,2278768.2,0.0,0,中证500ETF易方达
34,20241011,1,510590,510590,400000,0.5,9774.85,5788.85,5.8797,2351869.85,0.0,0,中证500ETF平安
35,20241011,1,510600,510600,300000,0.5,16287.14,15547.14,3.5083,1052485.14,0.0,0,申万上证50ETF
36,20241011,1,510630,510630,1000000,0.5,-10863.34,-17926.34,0.9892,989245.82,0.0,0,消费30ETF
37,20241011,1,510650,510650,500000,0.5,5290.22,9874.86,2.6498,1324920.4,0.0,0,金融地产ETF
38,20241011,1,510660,510660,500000,0.5,292.27,-197.73,2.2454,1122699.69,0.0,0,医药卫生ETF
39,20241011,1,510680,510680,300000,0.5,-31187.57,-37037.57,2.8191,845721.43,0.0,0,上证50ETF基金
40,20241011,1,510710,510710,300000,0.4,226.97,-1128.03,3.7469,1124056.97,0.0,0,上证50ETF博时
41,20241011,1,510720,510720,1000000,0.5,-334.15,1037.85,1.018,1017953.85,0.0,0,红利国企ETF
42,20241011,1,510760,510760,3000000,0.3,7079.35,5490.35,1.0809,3242829.35,0.0,0,上证综指ETF
43,20241011,1,510770,510770,1500000,0.5,-3694.31,-5950.31,0.5429,814416.69,0.0,0,G60创新ETF
44,20241011,1,510800,510800,1000000,0.4,29347.08,30139.08,1.2535,1253532.08,0.0,0,50ETF基金
45,20241011,1,510810,510810,1000000,0.5,-9829.99,-6409.99,0.8288,828802.01,0.0,0,上海国企ETF
46,20241011,1,510850,510850,600000,0.5,71325.27,71325.27,3.1237,1874200.27,0.0,0,工银上证50ETF
47,20241011,1,510880,510880,500000,0.55,1843.78,1155.78,3.2658,1632911.78,0.0,0,红利ETF
48,20241011,1,510900,510900,1000000,1.0,528.18,528.18,0.9715,971537.58,0.0,0,H股ETF
49,20241011,1,510950,510950,750000,1.0,4853.2,4853.2,1.1319,848892.2,0.0,0,上证50ETF指数
50,20241011,1,510980,510980,3000000,0.5,-27493.91,-27518.91,1.123,3369035.09,0.0,0,上证综合ETF
51,20241011,1,510990,510990,2000000,0.5,19227.46,21987.46,0.9117,1823351.46,0.0,0,180ESGETF
52,20241011,1,511010,511010,10000,1.0,-277.52,-1234.28,138.341,1383409.31,0.0,0,国债ETF
53,20241011,1,511020,511020,15000,1.0,116259.48,116365.29,113.0811,1696216.02,0.0,0,活跃国债ETF
54,20241011,1,511030,511030,100000,1.0,-24506.94,-24344.22,10.5028,1050275.88,0.0,0,公司债ETF
55,20241011,1,511060,511060,10000,1.0,23711.87,23780.34,105.7755,1057754.58,0.0,0,5年地方债ETF
56,20241011,1,511090,511090,10000,1.05,-2838.94,-2761.44,117.0388,1170389.36,0.0,0,30年国债ETF
57,20241011,1,511100,511100,10000,1.0,-142.81,779.0,104.7055,1047055.33,0.0,0,基准国债ETF
58,20241011,1,511130,511130,2000,1.0,837.75,849.65,106.3159,212631.88,0.0,0,30年国债指数ETF
59,20241011,1,511180,511180,100000,1.0,-8736.63,-7778.79,10.598,1059802.08,0.0,0,上证可转债ETF
60,20241011,1,511220,511220,100000,1.0,-39826.96,-39691.43,10.1344,1013436.23,0.0,0,城投债ETF
61,20241011,1,511260,511260,10000,1.0,-399.58,-313.05,130.685,1306849.75,0.0,0,十年国债ETF
62,20241011,1,511270,511270,10000,1.0,-5154.06,-5072.36,114.1765,1141765.2,0.0,0,10年地方债ETF
63,20241011,1,511360,511360,2000,1.0,43.6,995.35,110.4645,220929.04,0.0,0,短融ETF
64,20241011,1,511380,511380,100000,1.0,198.85,-75.62,10.8754,1087544.68,0.0,0,可转债ETF
65,20241011,1,511520,511520,10000,1.0,-766.9,3147.03,110.6754,1106753.69,0.0,0,政金债券ETF
66,20241011,1,511580,511580,2000,1.0,-262.09,-236.07,107.1366,214273.26,0.0,0,国债政金债ETF
67,20241011,1,511600,511600,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币ETF
68,20241011,1,511620,511620,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币基金ETF
69,20241011,1,511650,511650,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华夏快线ETF
70,20241011,1,511660,511660,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币ETF建信添益
71,20241011,1,511670,511670,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华泰天天金ETF
72,20241011,1,511690,511690,1,1.0,0.0,0.0,100.0,100.0,0.0,0,交易货币ETF
73,20241011,1,511700,511700,10,1.0,0.0,0.0,100.0,1000.0,0.0,0,场内货币ETF
74,20241011,1,511770,511770,1,1.0,0.0,0.0,100.0,100.0,0.0,0,金鹰增益货币ETF
75,20241011,1,511800,511800,1,1.0,0.0,0.0,100.0,100.0,0.0,0,易方达货币ETF
76,20241011,1,511810,511810,1,1.0,0.0,0.0,100.0,100.0,0.0,0,理财金货币ETF
77,20241011,1,511820,511820,1,1.0,0.0,0.0,100.0,100.0,0.0,0,鹏华添利ETF
78,20241011,1,511830,511830,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华泰货币ETF
79,20241011,1,511850,511850,10,1.0,0.0,0.0,100.0,1000.0,0.0,0,财富宝ETF
80,20241011,1,511860,511860,1,1.0,0.0,0.0,100.0,100.0,0.0,0,保证金货币ETF
81,20241011,1,511880,511880,10,1.0,0.61,0.03,101.317,1013.17,0.0,0,银华日利ETF
82,20241011,1,511900,511900,1,1.0,0.0,0.0,100.0,100.0,0.0,0,富国货币ETF
83,20241011,1,511910,511910,1,1.0,0.0,0.0,100.0,100.0,0.0,0,融通货币ETF
84,20241011,1,511920,511920,1,1.0,0.0,0.0,100.0,100.0,0.0,0,广发货币ETF
85,20241011,1,511930,511930,1,1.0,0.0,0.0,100.0,100.0,0.0,0,国联日盈货币ETF
86,20241011,1,511950,511950,1,1.0,0.0,0.0,100.0,100.0,0.0,0,添利货币ETF
87,20241011,1,511960,511960,1,1.0,0.0,0.0,100.0,100.0,0.0,0,嘉实快线ETF
88,20241011,1,511970,511970,1,1.0,0.0,0.0,100.0,100.0,0.0,0,国寿货币ETF
89,20241011,1,511980,511980,1,1.0,0.0,0.0,100.0,100.0,0.0,0,现金添富ETF
90,20241011,1,511990,511990,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华宝添益ETF
91,20241011,1,512000,512000,300000,0.5,199.57,2730.57,1.0704,321127.57,0.0,0,券商ETF
92,20241011,1,512010,512010,1000000,0.7,10012.92,10012.92,0.3984,398436.92,0.0,0,医药ETF
93,20241011,1,512040,512040,1000000,0.5,4293.51,4293.51,0.9588,958782.51,0.0,0,价值100ETF
94,20241011,1,512070,512070,1000000,1.0,5408.56,8587.56,0.8103,810256.56,0.0,0,证券保险ETF
95,20241011,1,512090,512090,2000000,0.8,4508.41,6820.41,1.5796,3159231.41,0.0,0,MSCIA股ETF易方达
96,20241011,1,512100,512100,2000000,0.5,-1290.82,-6839.83,2.299,4598043.18,0.0,0,中证1000ETF
97,20241011,1,512120,512120,1000000,0.5,-14800.74,-14860.74,0.4437,443734.26,0.0,0,医药50ETF
98,20241011,1,512150,512150,1000000,0.5,70041.95,68843.95,1.6828,1682752.95,0.0,0,A50ETF
99,20241011,1,512160,512160,2000000,0.5,-1552.94,-4570.94,1.2055,2411013.06,0.0,0,MSCI中国A股ETF
100,20241011,1,512170,512170,1000000,0.5,111.38,21.38,0.3598,359769.38,0.0,0,医疗ETF
101,20241011,1,512180,512180,2000000,0.5,163608.65,162820.65,1.4293,2858695.65,0.0,0,MSCIA股ETF基金
102,20241011,1,512190,512190,700000,0.5,-257.31,-305.31,1.8511,1295771.69,0.0,0,浙商之江凤凰ETF
103,20241011,1,512200,512200,250000,0.5,-81.76,252.24,1.4685,367120.24,0.0,0,房地产ETF
104,20241011,1,512220,512220,1500000,0.15,253.8,-5976.2,1.6007,2400987.8,0.0,0,TMTETF
105,20241011,1,512260,512260,800000,0.5,10445.92,10063.92,1.5438,1235047.92,0.0,0,中证500低波动ETF
106,20241011,1,512280,512280,2000000,0.5,14.83,-5434.17,1.4847,2969315.83,0.0,0,MSCIA股ETF景顺
107,20241011,1,512290,512290,1000000,0.8,-22967.85,-22967.85,1.0155,1015510.15,0.0,0,生物医药ETF
108,20241011,1,512330,512330,1500000,0.5,-196.07,-242.07,0.9039,1355868.93,0.0,0,信息科技ETF
109,20241011,1,512360,512360,3000000,0.5,59315.08,61982.08,1.5227,4567963.08,0.0,0,平安MSCI国际ETF
110,20241011,1,512380,512380,3000000,0.5,110284.95,105745.95,1.3383,4014965.95,0.0,0,MSCI中国ETF
111,20241011,1,512390,512390,3000000,0.5,-107086.06,-106014.06,1.0912,3273748.94,0.0,0,平安MSCI低波ETF
112,20241011,1,512400,512400,500000,0.6,-340.72,-880.72,1.0439,521927.28,0.0,0,有色金属ETF
113,20241011,1,512480,512480,2000000,0.5,22705.99,22705.99,0.9328,1865610.99,0.0,0,半导体ETF
114,20241011,1,512500,512500,800000,0.5,2740.69,-677.6,3.1167,2493332.72,0.0,0,中证500ETF华夏
115,20241011,1,512510,512510,1500000,0.5,38810.6,29589.6,1.5968,2395254.6,0.0,0,中证500指数ETF
116,20241011,1,512520,512520,3000000,0.5,85209.94,81236.94,1.2061,3618225.94,0.0,0,MSCIETF
117,20241011,1,512530,512530,1000000,0.5,3809.75,5857.75,1.4905,1490476.75,0.0,0,沪深300红利ETF
118,20241011,1,512550,512550,1000000,0.5,-1340.34,-1340.34,1.5682,1568171.66,0.0,0,A50ETF基金
119,20241011,1,512560,512560,1000000,0.7,-1073.4,-1073.4,0.6168,616789.6,0.0,0,军工ETF易方达
120,20241011,1,512570,512570,1000000,0.9,4158.51,8944.51,1.1249,1124940.51,0.0,0,证券ETF易方达
121,20241011,1,512580,512580,600000,0.5,1452.0,2984.0,1.0256,615336.0,0.0,0,环保ETF
122,20241011,1,512600,512600,1300000,0.5,8421.49,6475.49,0.7297,948656.49,0.0,0,必选消费ETF
123,20241011,1,512640,512640,500000,0.5,-7603.61,-4997.61,2.2552,1127593.39,0.0,0,金融地产ETF基金
124,20241011,1,512650,512650,2000000,0.5,-2036.1,1603.9,0.9859,1971842.9,0.0,0,长三角ETF
125,20241011,1,512660,512660,1000000,0.8,-539.72,-539.72,1.0187,1018680.28,0.0,0,军工ETF
126,20241011,1,512670,512670,1000000,0.5,-5918.3,-6714.62,0.6956,695577.75,0.0,0,国防ETF
127,20241011,1,512680,512680,800000,0.3,-5196.82,-5326.82,1.0441,835270.18,0.0,0,军工ETF龙头
128,20241011,1,512690,512690,1100000,0.5,4985.91,4985.91,0.6525,717751.91,0.0,0,酒ETF
129,20241011,1,512700,512700,500000,1.0,12.97,12.97,1.4236,711810.97,0.0,0,银行ETF基金
130,20241011,1,512710,512710,1000000,0.5,10866.06,10866.06,0.626,625997.06,0.0,0,军工龙头ETF
131,20241011,1,512720,512720,1000000,0.8,-3488.93,-3488.93,0.9395,939454.07,0.0,0,计算机ETF
132,20241011,1,512730,512730,500000,0.5,-728.4,-1759.4,1.4478,723923.6,0.0,0,中证银行ETF
133,20241011,1,512750,512750,900000,0.5,23629.18,23629.18,1.4228,1280558.18,0.0,0,基本面50ETF
134,20241011,1,512760,512760,1200000,0.8,-5364.5,-898.5,1.0517,1261989.5,0.0,0,芯片ETF
135,20241011,1,512770,512770,1000000,0.5,10057.32,6154.28,1.3434,1343380.18,0.0,0,战略新兴ETF
136,20241011,1,512800,512800,300000,0.5,48.52,-17.48,1.413,423902.52,0.0,0,银行ETF
137,20241011,1,512810,512810,1000000,0.5,466.69,-727.31,1.1661,1166147.69,0.0,0,国防军工ETF
138,20241011,1,512820,512820,300000,0.5,1243.4,1243.4,1.4329,429879.4,0.0,0,银行业ETF
139,20241011,1,512870,512870,1000000,0.5,-89194.05,-88455.05,1.1641,1164118.95,0.0,0,杭州湾区ETF
140,20241011,1,512880,512880,1000000,0.8,-1408.53,11810.47,1.1169,1116863.47,0.0,0,证券ETF
141,20241011,1,512890,512890,1000000,0.5,1289.23,1763.23,1.1001,1100126.23,0.0,0,红利低波ETF
142,20241011,1,512900,512900,500000,1.0,756.45,5121.45,1.1085,554270.45,0.0,0,证券ETF基金
143,20241011,1,512910,512910,1500000,0.5,-18201.22,-18201.22,1.0453,1567897.78,0.0,0,中证100ETF
144,20241011,1,512930,512930,1000000,0.5,17618.54,17618.54,1.2342,1234222.54,0.0,0,AI人工智能ETF
145,20241011,1,512950,512950,1000000,0.5,1198.86,327.86,1.3789,1378902.86,0.0,0,央企改革ETF
146,20241011,1,512960,512960,1000000,0.5,111.06,-282.94,1.3362,1336157.06,0.0,0,央企结构调整ETF
147,20241011,1,512970,512970,1000000,0.5,23483.18,23491.18,1.2249,1224937.18,0.0,0,大湾区ETF
148,20241011,1,512980,512980,1500000,0.5,-6695.2,-6695.2,0.7162,1074336.8,0.0,0,传媒ETF
149,20241011,1,512990,512990,2000000,0.5,919.89,-10526.76,1.6143,3228526.04,0.0,0,MSCIA股ETF
150,20241011,1,513000,513000,500000,1.0,-526.91,-526.91,1.4453,722630.0,0.0,0,日经225ETF易方达
151,20241011,1,513010,513010,1000000,1.0,546.09,546.09,0.6504,650400.7,0.0,0,恒生科技30ETF
152,20241011,1,513020,513020,1000000,0.5,1101.25,1960.42,0.8844,884448.71,0.0,0,港股科技ETF
153,20241011,1,513030,513030,500000,1.0,-4103.19,-4103.19,1.4214,710681.66,0.0,0,德国ETF
154,20241011,1,513040,513040,500000,1.0,106.73,30.18,1.1718,585897.93,0.0,0,港股通互联网ETF
155,20241011,1,513050,513050,1000000,1.0,856.63,-397.01,1.2634,1263430.8,0.0,0,中概互联网ETF
156,20241011,1,513060,513060,2500000,1.0,24.15,-837.27,0.4363,1090856.57,0.0,0,恒生医疗ETF
157,20241011,1,513070,513070,1000000,1.0,28711.46,26954.61,1.1395,1139513.6,0.0,0,港股消费50ETF
158,20241011,1,513080,513080,500000,1.0,-4433.63,-3295.06,1.5377,768862.53,0.0,0,法国CAC40ETF
159,20241011,1,513090,513090,500000,1.0,14881.87,10754.81,1.4881,744039.3,0.0,0,香港证券ETF
160,20241011,1,513100,513100,1000000,1.0,7246.63,7246.63,1.44,1440287.69,0.0,0,纳指ETF
161,20241011,1,513110,513110,1000000,1.0,-20185.68,-18081.73,1.654,1653994.93,0.0,0,纳斯达克100ETF
162,20241011,1,513120,513120,500000,1.0,-17.71,-206.03,0.8184,409219.7,0.0,0,港股创新药ETF
163,20241011,1,513130,513130,1000000,1.0,655.01,638.07,0.6305,630517.62,0.0,0,恒生科技ETF
164,20241011,1,513140,513140,500000,1.0,-127.08,-2189.9,1.1648,582379.98,0.0,0,港股金融ETF
165,20241011,1,513150,513150,1000000,1.0,-19.52,15.71,0.8908,890827.8,0.0,0,港股通科技50ETF
166,20241011,1,513160,513160,1000000,1.0,-119.75,-1533.09,0.9073,907282.53,0.0,0,港股科技30ETF
167,20241011,1,513170,513170,1000000,1.0,-0.55,-994.6,1.2044,1204372.56,0.0,0,恒生央企ETF
168,20241011,1,513180,513180,1000000,1.0,1081.87,1385.15,0.6377,637710.57,0.0,0,恒生科技指数ETF
169,20241011,1,513190,513190,1000000,1.0,26110.98,24928.62,1.305,1305024.1,0.0,0,港股通金融ETF
170,20241011,1,513200,513200,1000000,1.0,17778.3,17577.82,0.7734,773383.72,0.0,0,港股通医药ETF
171,20241011,1,513210,513210,1000000,1.0,2768.73,2727.56,1.2992,1299229.53,0.0,0,恒生ETF易方达
172,20241011,1,513220,513220,1000000,1.0,413.03,-1486.59,1.1549,1154880.84,0.0,0,中概互联ETF
173,20241011,1,513230,513230,1000000,1.0,18235.63,20506.0,0.9061,906092.86,0.0,0,港股消费ETF
174,20241011,1,513260,513260,1000000,1.0,-52.22,-310.69,1.2146,1214630.36,0.0,0,恒生科技ETF基金
175,20241011,1,513280,513280,1000000,1.0,30.81,-401.43,0.7603,760320.85,0.0,0,恒生生物科技ETF
176,20241011,1,513290,513290,500000,1.0,313.55,313.55,1.2067,603335.94,0.0,0,纳指生物科技ETF
177,20241011,1,513300,513300,750000,1.0,534.64,2863.53,1.7948,1346069.02,0.0,0,纳斯达克ETF
178,20241011,1,513310,513310,1000000,1.0,-386.04,100.67,1.428,1428046.76,0.0,0,中韩半导体ETF
179,20241011,1,513320,513320,1000000,1.0,11178.48,11021.95,1.0919,1091856.57,0.0,0,恒生新经济ETF
180,20241011,1,513330,513330,2000000,1.0,1897.33,1990.76,0.4662,932356.4,0.0,0,恒生互联网ETF
181,20241011,1,513350,513350,1000000,1.0,1734.07,5079.79,0.9959,995859.37,0.0,0,标普油气ETF
182,20241011,1,513360,513360,1500000,1.0,19.65,-2069.19,0.5335,800193.86,0.0,0,教育ETF
183,20241011,1,513380,513380,500000,1.0,-231.82,-677.09,1.1601,580037.79,0.0,0,恒生科技ETF龙头
184,20241011,1,513390,513390,1000000,1.0,8291.78,9659.03,1.6057,1605707.68,0.0,0,纳指100ETF
185,20241011,1,513400,513400,1000000,1.0,-22437.21,25929.8,1.0762,1076217.76,0.0,0,道琼斯ETF
186,20241011,1,513500,513500,1000000,1.0,34783.6,34628.68,1.9295,1929474.7,0.0,0,标普500ETF
187,20241011,1,513520,513520,500000,1.0,-124.58,-124.58,1.4312,715592.34,0.0,0,日经ETF
188,20241011,1,513530,513530,500000,1.0,-5.26,-348.04,1.4257,712867.01,0.0,0,港股通红利ETF
189,20241011,1,513550,513550,1000000,1.0,-29.99,-644.22,0.9124,912385.39,0.0,0,港股通50ETF
190,20241011,1,513560,513560,1000000,1.0,-67.45,-849.41,1.0411,1041104.88,0.0,0,香港科技ETF
191,20241011,1,513580,513580,1000000,1.0,139.22,180.31,0.6349,634860.31,0.0,0,恒生科技ETF指数基金
192,20241011,1,513590,513590,300000,1.0,413.61,-1017.3,0.8127,243813.7,0.0,0,香港消费ETF
193,20241011,1,513600,513600,1000000,1.0,-203.87,632.28,2.406,2405994.98,0.0,0,恒生指数ETF
194,20241011,1,513630,513630,1000000,1.0,-44.68,-873.86,1.2718,1271761.92,0.0,0,港股红利指数ETF
195,20241011,1,513650,513650,1000000,1.0,779.42,-17031.62,1.4722,1472190.17,0.0,0,标普500ETF基金
196,20241011,1,513660,513660,1000000,1.0,5194.86,3700.01,2.526,2525979.56,0.0,0,恒生ETF
197,20241011,1,513690,513690,1500000,1.0,45.74,-812.5,0.9027,1354119.51,0.0,0,恒生高股息ETF
198,20241011,1,513700,513700,1000000,1.0,-11.82,-300.47,0.4655,465536.58,0.0,0,香港医药ETF
199,20241011,1,513730,513730,1000000,1.0,4919.99,4919.99,1.2267,1226727.37,0.0,0,东南亚科技ETF
