,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
0,20371207,1,510010,510010,1000000,0.3,-18436.69,-20886.69,1.596,1596154.31,0.0,0,180治理ETF
1,20371207,1,510020,510020,100000,0.4,251.83,251.83,3.0505,305054.83,0.0,0,超大盘ETF
2,20371207,1,510030,510030,500000,0.5,202.84,371.84,0.986,493170.84,0.0,0,价值ETF
3,20371207,1,510050,510050,900000,0.5,13278.81,12890.81,2.7601,2484051.5,0.0,0,上证50ETF
4,20371207,1,510060,510060,1000000,0.5,17202.6,19965.6,2.4633,2463270.6,0.0,0,央企ETF
5,20371207,1,510090,510090,500000,0.4,50639.62,49688.62,2.4827,1241327.62,0.0,0,ESGETF基金
6,20371207,1,510100,510100,600000,1.0,2753.46,2753.46,1.3489,809360.46,0.0,0,上证50ETF易方达
7,20371207,1,510130,510130,400000,1.0,8680.6,9161.6,5.6758,2270338.6,0.0,0,中盘ETF
8,20371207,1,510150,510150,2000000,0.3,-55732.88,-55765.88,0.5164,1032789.12,0.0,0,消费ETF
9,20371207,1,510160,510160,2000000,0.5,-370.54,-185.54,0.8354,1670822.46,0.0,0,产业升级ETF
10,20371207,1,510170,510170,2000000,0.5,2008.62,2939.62,0.901,1802443.62,0.0,0,大宗商品ETF
11,20371207,1,510180,510180,500000,0.5,-34417.78,-33912.78,3.7103,1855155.22,0.0,0,上证180ETF
12,20371207,1,510190,510190,500000,0.5,-68825.27,-68825.27,3.7586,1879286.73,0.0,0,上证50ETF指数基金
13,20371207,1,510200,510200,500000,0.8,1414.85,1414.85,1.1886,594294.85,0.0,0,上证券商ETF
14,20371207,1,510210,510210,3000000,0.5,47.05,845.05,0.784,2352849.05,0.0,0,上证指数ETF
15,20371207,1,510230,510230,1000000,0.3,-1835.7,-1835.7,1.2741,1274135.3,0.0,0,金融ETF
16,20371207,1,510270,510270,1000000,0.5,-45007.89,-45107.89,1.3301,1330074.11,0.0,0,国企ETF
17,20371207,1,510290,510290,2000000,1.0,-5173.1,-9724.1,1.8856,3771174.9,0.0,0,上证380ETF
18,20371207,1,510300,510300,900000,0.5,1575.92,82.92,3.936,3542417.92,0.0,0,沪深300ETF
19,20371207,1,510310,510310,900000,0.8,3093.03,3045.03,3.8574,3471622.03,0.0,0,沪深300ETF易方达
20,20371207,1,510330,510330,900000,0.5,3583.76,2425.86,4.0272,3624455.55,0.0,0,沪深300ETF华夏
21,20371207,1,510350,510350,900000,0.5,7771.71,7298.71,3.8866,3497974.71,0.0,0,工银沪深300ETF
22,20371207,1,510360,510360,3000000,0.5,16222.99,12900.99,1.4307,4292073.99,0.0,0,沪深300ETF基金
23,20371207,1,510370,510370,3000000,0.5,41850.55,34511.55,0.8496,2548940.55,0.0,0,300指数ETF
24,20371207,1,510380,510380,3000000,0.5,-38118.58,-37727.58,1.1033,3310000.42,0.0,0,国寿300ETF
25,20371207,1,510390,510390,900000,0.5,7441.11,12743.11,4.1726,3755354.11,0.0,0,沪深300ETF平安
26,20371207,1,510410,510410,1000000,0.4,246.89,677.89,1.2535,1253517.89,0.0,0,资源ETF
27,20371207,1,510500,510500,400000,0.6,-734.24,-2218.24,5.5622,2224865.76,0.0,0,中证500ETF
28,20371207,1,510510,510510,2000000,0.5,-24842.15,-13951.15,1.7114,3422767.85,0.0,0,中证500ETF基金
29,20371207,1,510530,510530,500000,0.5,16242.52,15419.52,5.7651,2882542.52,0.0,0,工银中证500ETF
30,20371207,1,510550,510550,2000000,0.5,19139.17,15656.17,1.3801,2760284.17,0.0,0,方正中证500ETF
31,20371207,1,510560,510560,2000000,0.5,12737.24,13317.24,1.2658,2531550.24,0.0,0,国寿500ETF
32,20371207,1,510570,510570,2500000,0.5,39397.69,38833.69,0.8578,2144616.69,0.0,0,兴业中证500ETF
33,20371207,1,510580,510580,800000,0.7,3314.3,3694.3,2.7398,2191837.3,0.0,0,中证500ETF易方达
34,20371207,1,510590,510590,400000,0.5,5483.89,2142.89,5.6584,2263340.89,0.0,0,中证500ETF平安
35,20371207,1,510600,510600,300000,0.5,14169.54,14169.54,3.4018,1020550.54,0.0,0,申万上证50ETF
36,20371207,1,510630,510630,1000000,0.5,-10665.7,-10869.36,0.938,938028.36,0.0,0,消费30ETF
37,20371207,1,510650,510650,500000,0.5,5051.36,4295.36,2.6317,1315843.36,0.0,0,金融地产ETF
38,20371207,1,510660,510660,500000,0.5,1056.17,634.49,2.1136,1056790.37,0.0,0,医药卫生ETF
39,20371207,1,510680,510680,300000,0.5,-30263.68,-29761.68,2.7328,819829.32,0.0,0,上证50ETF基金
40,20371207,1,510710,510710,300000,0.4,302.31,1346.31,3.6323,1089695.31,0.0,0,上证50ETF博时
41,20371207,1,510720,510720,1000000,0.5,1129.05,4021.05,1.0033,1003295.05,0.0,0,红利国企ETF
42,20371207,1,510760,510760,3000000,0.3,6006.32,6006.32,1.0523,3156961.32,0.0,0,上证综指ETF
43,20371207,1,510770,510770,1500000,0.5,-4018.84,-4725.84,0.5173,775963.16,0.0,0,G60创新ETF
44,20371207,1,510800,510800,1000000,0.4,28673.39,28173.39,1.2153,1215272.39,0.0,0,50ETF基金
45,20371207,1,510810,510810,1000000,0.5,-8506.8,-8876.8,0.809,808964.2,0.0,0,上海国企ETF
46,20371207,1,510850,510850,600000,0.5,67701.19,67701.19,3.0287,1817220.19,0.0,0,工银上证50ETF
47,20371207,1,510880,510880,500000,0.55,1451.66,1235.66,3.233,1616515.66,0.0,0,红利ETF
48,20371207,1,510900,510900,1000000,1.0,472.44,409.34,0.9298,929807.54,0.0,0,H股ETF
49,20371207,1,510950,510950,750000,1.0,4426.9,4426.9,1.0979,823393.9,0.0,0,上证50ETF指数
50,20371207,1,510980,510980,3000000,0.5,-12063.7,-8605.7,1.089,3266920.3,0.0,0,上证综合ETF
51,20371207,1,510990,510990,2000000,0.5,19047.7,16709.7,0.8856,1771164.7,0.0,0,180ESGETF
52,20371207,1,511010,511010,10000,1.0,-2316.64,-2232.63,138.527,1385274.35,0.0,0,国债ETF
53,20371207,1,511020,511020,15000,1.0,129428.76,129534.67,113.271,1699064.55,0.0,0,活跃国债ETF
54,20371207,1,511030,511030,100000,1.0,-24767.47,-24626.14,10.5358,1053578.03,0.0,0,公司债ETF
55,20371207,1,511060,511060,10000,1.0,23586.69,23655.16,105.9322,1059321.73,0.0,0,5年地方债ETF
56,20371207,1,511090,511090,10000,1.05,-2864.06,-2786.76,116.9073,1169072.34,0.0,0,30年国债ETF
57,20371207,1,511100,511100,10000,1.0,41.98,-116.85,104.8147,1048146.63,0.0,0,基准国债ETF
58,20371207,1,511130,511130,2000,1.0,575.29,593.01,106.389,212777.99,0.0,0,30年国债指数ETF
59,20371207,1,511180,511180,100000,1.0,-9587.83,-9620.63,10.6252,1062524.28,0.0,0,上证可转债ETF
60,20371207,1,511220,511220,100000,1.0,-36426.96,-36581.82,10.204,1020400.59,0.0,0,城投债ETF
61,20371207,1,511260,511260,10000,1.0,-473.13,-386.6,130.895,1308953.78,0.0,0,十年国债ETF
62,20371207,1,511270,511270,10000,1.0,-4902.78,-4821.08,114.4955,1144954.97,0.0,0,10年地方债ETF
63,20371207,1,511360,511360,2000,1.0,116.3,119.29,110.5739,221147.75,0.0,0,短融ETF
64,20371207,1,511380,511380,100000,1.0,256.53,760.04,10.8779,1087788.86,0.0,0,可转债ETF
65,20371207,1,511520,511520,10000,1.0,-2316.69,-61.49,110.8886,1108885.68,0.0,0,政金债券ETF
66,20371207,1,511580,511580,2000,1.0,-270.03,-264.12,107.1569,214313.78,0.0,0,国债政金债ETF
67,20371207,1,511600,511600,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币ETF
68,20371207,1,511620,511620,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币基金ETF
69,20371207,1,511650,511650,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华夏快线ETF
70,20371207,1,511660,511660,1,1.0,0.0,0.0,100.0,100.0,0.0,0,货币ETF建信添益
71,20371207,1,511670,511670,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华泰天天金ETF
72,20371207,1,511690,511690,1,1.0,0.0,0.0,100.0,100.0,0.0,0,交易货币ETF
73,20371207,1,511700,511700,10,1.0,0.0,0.0,100.0,1000.0,0.0,0,场内货币ETF
74,20371207,1,511770,511770,1,1.0,0.0,0.0,100.0,100.0,0.0,0,金鹰增益货币ETF
75,20371207,1,511800,511800,1,1.0,0.0,0.0,100.0,100.0,0.0,0,易方达货币ETF
76,20371207,1,511810,511810,1,1.0,0.0,0.0,100.0,100.0,0.0,0,理财金货币ETF
77,20371207,1,511820,511820,1,1.0,0.0,0.0,100.0,100.0,0.0,0,鹏华添利ETF
78,20371207,1,511830,511830,1,1.0,0.0,0.0,100.0,100.0,0.0,0,华泰货币ETF
