,代码,总股本,最新价,总市值,排名
3619,300478,126673000.0,8.66,1096988180.0,1.0
2076,600768,133747200.0,8.44,1128826368.0,2.0
428,001211,72000000.0,16.49,1187280000.0,3.0
2903,603709,125928400.0,9.49,1195060516.0,4.0
3979,300854,101088500.0,12.56,1269671560.0,5.0
1818,600455,62458000.0,20.6,1286634800.0,6.0
1845,600493,272000000.0,4.74,1289280000.0,7.0
4113,300995,84160000.0,15.59,1312054400.0,8.0
1585,600137,97217588.0,13.55,1317298317.4,9.0
4023,300899,63783466.0,20.95,1336263612.7,10.0
691,002188,292538575.0,4.68,1369080531.0,11.0
191,000638,311386551.0,4.41,1373214689.91,12.0
4406,301336,40000000.0,34.4,1376000000.0,13.0
3559,300417,134563200.0,10.25,1379272800.0,14.0
2493,603022,200000000.0,6.94,1388000000.0,15.0
492,001336,80373500.0,17.3,1390461550.0,16.0
793,002295,250616000.0,5.75,1441042000.0,17.0
3472,300321,88800000.0,16.54,1468752000.0,18.0
4128,301010,108000000.0,13.65,1474200000.0,19.0
4074,300955,100800000.0,14.64,1475712000.0,20.0
4068,300948,140028865.0,10.61,1485706257.6499999,21.0
2598,603159,140000000.0,10.63,1488200000.0,22.0
1304,002853,186542748.0,8.06,1503534548.88,23.0
3776,300640,312452427.0,4.83,1509145222.41,24.0
1283,002830,133340000.0,11.32,1509408800.0,25.0
4144,301027,147861140.0,10.23,1512619462.2,26.0
4053,300931,240146000.0,6.31,1515321260.0,27.0
1455,003017,84000000.0,18.04,1515360000.0,28.0
4010,300886,74555000.0,20.33,1515703149.9999998,29.0
452,001259,73588888.0,20.7,1523289981.6,30.0
3850,300717,102775000.0,14.83,1524153250.0,31.0
2174,600883,236088000.0,6.48,1529850240.0,32.0
2513,603045,135445155.0,11.33,1534593606.15,33.0
3838,300703,180391840.0,8.57,1545958068.8,34.0
2550,603090,100000000.0,15.52,1552000000.0,35.0
4110,300992,90800169.0,17.15,1557222898.35,36.0
4001,300877,120000000.0,13.02,1562400000.0,37.0
4171,301057,117390438.0,13.33,1564814538.54,38.0
444,001231,100000000.0,15.65,1565000000.0,39.0
4238,301131,47780000.0,32.99,1576262200.0,40.0
4291,301198,169000000.0,9.33,1576770000.0,41.0
322,000856,227000000.0,6.95,1577650000.0,42.0
1238,002780,157587486.0,10.02,1579026609.72,43.0
1273,002820,200868295.0,7.91,1588868213.45,44.0
4208,301098,177585473.0,8.95,1589389983.35,45.0
