,symbol,volume,can_use_volume,frozen_volume,market_value
0,600137.SH,18200,18200,0,246064.0
1,600455.SH,43800,43800,0,902280.0000000001
2,600493.SH,151300,151300,0,711110.0
3,600768.SH,91900,91900,0,770122.0000000001
4,600857.SH,115900,115900,0,702354.0
5,603045.SH,69500,69500,0,781875.0
6,603709.SH,72000,72000,0,682560.0
7,001336.SZ,39600,39600,0,685476.0
8,002188.SZ,152700,152700,0,714636.0
9,002295.SZ,127800,127800,0,734850.0
10,002921.SZ,67600,67600,0,709124.0
11,123052.SZ,930,930,0,120226.68000000001
12,123054.SZ,500,200,300,71900.0
13,123135.SZ,580,580,0,76347.72
14,123209.SZ,500,500,0,63197.5
15,300069.SZ,17800,17800,0,254184.00000000003
16,300478.SZ,90500,90500,0,784635.0
17,300535.SZ,16000,16000,0,260320.0
18,300665.SZ,128300,128300,0,808290.0
19,300749.SZ,125600,125600,0,790024.0
20,300854.SZ,26800,19200,0,337948.0
21,300877.SZ,20800,19800,0,271856.0
22,300886.SZ,12200,12200,0,249124.00000000003
23,300899.SZ,10000,10000,0,209800.0
24,300931.SZ,120500,120500,0,762765.0
25,300948.SZ,67900,67900,0,720419.0
26,300955.SZ,17000,17000,0,249050.0
27,300995.SZ,43800,43800,0,683718.0
28,301010.SZ,23600,16000,0,322376.0
29,301027.SZ,86800,86800,0,890568.0
30,301098.SZ,87900,87900,0,787584.0000000001
31,301167.SZ,16000,16000,0,228160.0
32,301273.SZ,41400,41400,0,725742.0
33,301336.SZ,22500,22500,0,773775.0
34,000638.SZ,70400,0,0,309760.0
35,001211.SZ,19200,0,0,315264.00000000006
36,300417.SZ,27000,0,0,276750.0
37,300321.SZ,18600,0,0,307644.0
38,002853.SZ,37200,0,0,299832.0
