,代码,总股本,最新价,总市值,排名
2075,600768,133747200.0,8.91,1191687552.0,1.0
3619,300478,126673000.0,9.44,1195793120.0,2.0
428,001211,72000000.0,17.36,1249920000.0,3.0
2903,603709,125928400.0,9.93,1250469012.0,4.0
1817,600455,62458000.0,20.58,1285385640.0,5.0
1844,600493,272000000.0,4.87,1324640000.0,6.0
3979,300854,101088500.0,13.12,1326281120.0,7.0
691,002188,292538575.0,4.62,1351528216.5,8.0
1585,600137,97217588.0,14.05,1365907111.4,9.0
4023,300899,63783466.0,21.72,1385376881.52,10.0
4113,300995,84160000.0,16.63,1399580800.0,11.0
191,000638,311386551.0,4.61,1435492000.1100001,12.0
2492,603022,200000000.0,7.26,1452000000.0,13.0
492,001336,80373500.0,18.36,1475657460.0,14.0
793,002295,250616000.0,5.94,1488659040.0,15.0
4406,301336,40000000.0,37.28,1491200000.0,16.0
3559,300417,134563200.0,11.11,1494997152.0,17.0
4144,301027,147861140.0,10.19,1506705016.6,18.0
4074,300955,100800000.0,15.0,1512000000.0,19.0
4128,301010,108000000.0,14.03,1515240000.0,20.0
2597,603159,140000000.0,10.93,1530200000.0,21.0
4208,301098,177585473.0,8.64,1534338486.72,22.0
4053,300931,240146000.0,6.43,1544138780.0,23.0
4068,300948,140028865.0,11.05,1547318958.25,24.0
4010,300886,74555000.0,20.89,1557453950.0,25.0
2512,603045,135445155.0,11.59,1569809346.45,26.0
4264,301167,112000000.0,14.04,1572480000.0,27.0
452,001259,73588888.0,21.4,1574802203.1999998,28.0
3850,300717,102775000.0,15.36,1578624000.0,29.0
3472,300321,88800000.0,17.83,1583303999.9999998,30.0
1283,002830,133340000.0,11.9,1586746000.0,31.0
3776,300640,312452427.0,5.08,1587258329.16,32.0
1455,003017,84000000.0,18.94,1590960000.0,33.0
2793,603506,187777779.0,8.51,1597988899.29,34.0
4110,300992,90800169.0,17.67,1604438986.2300003,35.0
1442,003003,176798300.0,9.08,1605328564.0,36.0
2549,603090,100000000.0,16.06,1605999999.9999998,37.0
1304,002853,186542748.0,8.63,1609863915.2400002,38.0
4171,301057,117390438.0,13.72,1610596809.3600001,39.0
3673,300535,104801463.0,15.45,1619182603.35,40.0
3838,300703,180391840.0,8.98,1619918723.2,41.0
444,001231,100000000.0,16.23,1623000000.0,42.0
322,000856,227000000.0,7.15,1623050000.0,43.0
1273,002820,200868295.0,8.1,1627033189.5,44.0
2173,600883,236088000.0,6.93,1636089840.0,45.0
