,代码,moneymanage
18,300886.SZ,984557.2473333334
19,300899.SZ,811361.2473333334
17,300877.SZ,760229.2473333334
16,300854.SZ,680981.2473333334
4,603022.SH,660409.2473333334
26,301167.SZ,546149.2473333334
0,600137.SH,397301.24733333336
1,600455.SH,385877.24733333336
9,001336.SZ,341749.24733333336
6,603709.SH,339311.24733333336
5,603159.SH,339215.2473333333
27,301336.SZ,333814.2473333333
14,300417.SZ,312485.24733333336
3,600768.SH,305363.24733333336
25,301098.SZ,296140.24733333336
11,002295.SZ,273461.2473333333
22,300955.SZ,271404.2473333333
8,001211.SZ,267269.24733333336
13,300321.SZ,264677.24733333336
12,002853.SZ,264029.24733333336
23,300995.SZ,249941.24733333336
10,002188.SZ,246029.24733333336
21,300948.SZ,218579.24733333336
15,300478.SZ,209453.24733333336
24,301027.SZ,204773.24733333336
20,300931.SZ,191585.24733333336
7,000638.SZ,187189.24733333336
2,600493.SH,182429.24733333336
28,003017.SZ,173945.24733333336
