,order_status,order_id,status_msg,symbol,amount,trade_amount,trade_price,order_type,direction,offset_flag,price,price_type,datetime,secondary_order_id
0,55,1082143669,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:26,1082143669
1,55,1082143696,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:28,1082143696
2,55,1082143698,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:28,1082143698
3,55,1082143711,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:30,1082143711
4,55,1082143717,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:31,1082143717
5,55,1082143733,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:33,1082143733
6,55,1082143744,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:34,1082143744
7,55,1082143753,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:36,1082143753
8,55,1082143761,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:37,1082143761
9,55,1082143769,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:39,1082143769
10,55,1082143775,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:40,1082143775
11,55,1082143785,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:42,1082143785
12,55,1082143787,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:42,1082143787
13,55,1082143797,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:44,1082143797
14,55,1082143799,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:44,1082143799
15,55,1082143824,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:47,1082143824
16,55,1082143826,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:47,1082143826
17,55,1082143844,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:50,1082143844
18,55,1082143847,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:50,1082143847
19,55,1082143861,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:52,1082143861
20,55,1082143865,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:52,1082143865
21,55,1082143877,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:54,1082143877
22,55,1082143882,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:55,1082143882
23,55,1082143892,,300535.SZ,1100,500,16.92,24,48,49,16.92,50,20241017 11:18:57,1082143892
24,55,1082143899,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:18:58,1082143899
25,57,1082143900,[88999][其他错误],300899.SZ,900,0,0.0,23,48,48,20.98,50,20241017 11:18:57,1082143900
26,55,1082143921,,300535.SZ,1100,500,16.93,24,48,49,16.93,50,20241017 11:19:02,1082143921
27,55,1082143925,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:19:03,1082143925
28,54,1082143927,,300877.SZ,1500,0,0.0,23,48,48,12.99,50,20241017 11:19:02,1082143927
29,57,1082143929,其他错误,300899.SZ,900,0,0.0,23,48,48,20.98,50,20241017 11:19:03,1082143929
30,55,1082143959,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:19:07,1082143959
31,54,1082143969,,300877.SZ,1500,0,0.0,23,48,48,12.99,50,20241017 11:19:07,1082143969
32,57,1082143971,其他错误,300899.SZ,900,0,0.0,23,48,48,20.98,50,20241017 11:19:08,1082143971
33,55,1082143988,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:19:10,1082143988
34,54,1082143991,,300877.SZ,1500,0,0.0,23,48,48,12.99,50,20241017 11:19:11,1082143991
35,57,1082143993,其他错误,300899.SZ,900,0,0.0,23,48,48,20.98,50,20241017 11:19:11,1082143993
36,55,1082144012,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:19:13,1082144012
37,54,1082144021,,300877.SZ,1500,0,0.0,23,48,48,12.99,50,20241017 11:19:13,1082144021
38,57,1082144024,其他错误,300899.SZ,900,0,0.0,23,48,48,20.98,50,20241017 11:19:13,1082144024
39,55,1082144039,,301273.SZ,1100,500,17.41,24,48,49,17.41,50,20241017 11:19:16,1082144039
40,54,1082144041,,300877.SZ,1500,0,0.0,23,48,48,12.99,50,20241017 11:19:15,1082144041
41,57,1082144044,其他错误,300899.SZ,900,0,0.0,23,48,48,20.98,50,20241017 11:19:17,1082144044
