,symbol,volume,can_use_volume,frozen_volume,market_value
0,600137.SH,54400,25200,0,765952.0
1,600455.SH,16800,16800,0,345744.00000000006
2,600493.SH,157400,117600,0,764964.0
3,600768.SH,86100,50600,0,765429.0
4,600883.SH,115500,115500,0,794640.0
5,603022.SH,100700,11600,0,727054.0
6,603159.SH,52200,37800,0,567936.0
7,603709.SH,42600,42600,0,423018.0
8,000638.SZ,166300,128800,0,766643.0
9,001211.SZ,28800,28800,0,497664.00000000006
10,001336.SZ,33000,23000,0,606210.0
11,002188.SZ,166700,110000,0,765153.0
12,002295.SZ,128800,81600,0,763784.0
13,002830.SZ,66200,66200,0,785794.0000000001
14,002853.SZ,88800,60000,0,761016.0
15,003017.SZ,15400,14400,0,290906.0
16,300321.SZ,36300,28800,0,642873.0
17,300417.SZ,65200,37200,0,729588.0
18,300478.SZ,80700,62100,0,760194.0
19,300535.SZ,43900,1800,0,678255.0
20,300717.SZ,49800,49800,0,762438.0
21,300854.SZ,34800,4800,0,455184.0
22,300877.SZ,9300,9300,0,151962.0
23,300886.SZ,14100,14100,0,293985.0
24,300899.SZ,21600,20000,0,468288.0
25,300931.SZ,118800,86800,0,763884.0
26,300948.SZ,69800,48600,0,774082.0
27,300955.SZ,37700,32500,0,564369.0
28,300995.SZ,46000,31200,0,763600.0000000001
29,301010.SZ,53000,53000,0,742530.0
30,301027.SZ,75300,53200,0,765048.0
31,301098.SZ,88200,52900,0,767340.0000000001
32,301167.SZ,54400,14000,0,763232.0000000001
33,301336.SZ,11500,11500,0,429525.0
34,603045.SH,28900,0,0,335240.0
35,001259.SZ,18000,0,0,385200.00000000006
