,symbol,volume,can_use_volume,frozen_volume,market_value
0,600137.SH,54400,25200,0,763776.0
1,600455.SH,16800,16800,0,342384.0
2,600493.SH,157400,117600,0,766538.0
3,600768.SH,86100,50600,0,778344.0000000001
4,600883.SH,115500,115500,0,795795.0000000001
5,603022.SH,100700,11600,0,720005.0
6,603159.SH,52200,37800,0,568458.0
7,603709.SH,42600,42600,0,435798.0
8,000638.SZ,166300,128800,0,766643.0
9,001211.SZ,28800,28800,0,502272.00000000006
10,001336.SZ,33000,23000,0,600600.0
11,002188.SZ,166700,110000,0,765153.0
12,002295.SZ,128800,81600,0,761208.0
13,002830.SZ,66200,66200,0,782484.0
14,002853.SZ,88800,60000,0,759240.0000000001
15,003017.SZ,15400,14400,0,289828.0
16,300321.SZ,36300,28800,0,646866.0
17,300417.SZ,65200,37200,0,737412.0
18,300478.SZ,80700,62100,0,767457.0
19,300535.SZ,42100,0,0,650866.0
20,300717.SZ,49800,49800,0,768414.0
21,300854.SZ,34800,4800,0,453792.00000000006
22,300877.SZ,8100,8100,0,124983.0
23,300886.SZ,14100,14100,0,297651.0
24,300899.SZ,21600,20000,0,469368.0
25,300931.SZ,118800,86800,0,761508.0
26,300948.SZ,69800,48600,0,766404.0
27,300955.SZ,37700,32500,0,565877.0
28,300995.SZ,46000,31200,0,768660.0
29,301010.SZ,53000,53000,0,738290.0
30,301027.SZ,75300,53200,0,756765.0
31,301098.SZ,88200,52900,0,766458.0
32,301167.SZ,54400,14000,0,759424.0
33,301336.SZ,11500,11500,0,431365.0
34,603045.SH,28900,0,0,335529.0
35,001259.SZ,18000,0,0,384480.0
