,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
0,20241010,1,510010,510010,1000000,0.3,-18181.4,-17677.4,1.591,1590563.6,0.0,0,180治理ETF
1,20241010,1,510020,510020,100000,0.4,343.1,343.1,3.1126,311260.1,0.0,0,超大盘ETF
2,20241010,1,510030,510030,500000,0.5,168.76,185.76,0.962,481145.76,0.0,0,价值ETF
3,20241010,1,510050,510050,900000,0.5,11017.25,7607.23,2.7862,2507536.04,0.0,0,上证50ETF
4,20241010,1,510060,510060,1000000,0.5,41296.8,29680.8,2.456,2455980.8,0.0,0,央企ETF
5,20241010,1,510090,510090,500000,0.4,50624.32,56579.32,2.4747,1237359.32,0.0,0,ESGETF基金
6,20241010,1,510100,510100,600000,1.0,7309.76,6997.76,1.3616,816963.76,0.0,0,上证50ETF易方达
7,20241010,1,510130,510130,400000,1.0,29992.41,29818.41,5.7833,2313335.41,0.0,0,中盘ETF
8,20241010,1,510150,510150,2000000,0.3,-56702.58,-52720.58,0.5377,1075384.42,0.0,0,消费ETF
9,20241010,1,510160,510160,2000000,0.5,-5.13,-1721.13,0.8309,1661860.87,0.0,0,产业升级ETF
10,20241010,1,510170,510170,2000000,0.5,1897.52,2889.52,0.905,1809288.52,0.0,0,大宗商品ETF
11,20241010,1,510180,510180,500000,0.5,-36780.18,-37877.18,3.7579,1878931.82,0.0,0,上证180ETF
12,20241010,1,510190,510190,500000,0.5,-73534.9,-74366.9,3.7926,1896281.1,0.0,0,上证50ETF指数基金
13,20241010,1,510200,510200,500000,0.8,-2811.91,-2811.91,1.3055,652730.09,0.0,0,上证券商ETF
14,20241010,1,510210,510210,3000000,0.5,38.45,-3062.55,0.798,2394197.45,0.0,0,上证指数ETF
15,20241010,1,510230,510230,1000000,0.3,-1628.19,-1628.19,1.2598,1259788.81,0.0,0,金融ETF
16,20241010,1,510270,510270,1000000,0.5,-46134.71,-45735.71,1.3269,1326909.29,0.0,0,国企ETF
17,20241010,1,510290,510290,2000000,1.0,-7910.97,-5778.97,1.9517,3903329.03,0.0,0,上证380ETF
18,20241010,1,510300,510300,900000,0.5,7838.22,3565.22,4.0374,3633629.22,0.0,0,沪深300ETF
19,20241010,1,510310,510310,900000,0.8,4923.44,4394.44,3.957,3561309.44,0.0,0,沪深300ETF易方达
20,20241010,1,510330,510330,900000,0.5,3683.4,4278.06,4.1311,3718000.51,0.0,0,沪深300ETF华夏
21,20241010,1,510350,510350,900000,0.5,6895.26,8384.26,3.986,3587373.26,0.0,0,工银沪深300ETF
22,20241010,1,510360,510360,3000000,0.5,10870.63,12647.63,1.4681,4404268.63,0.0,0,沪深300ETF基金
23,20241010,1,510370,510370,3000000,0.5,44101.14,34133.14,0.8709,2612816.14,0.0,0,300指数ETF
24,20241010,1,510380,510380,3000000,0.5,-44756.82,-42431.82,1.1314,3394298.18,0.0,0,国寿300ETF
25,20241010,1,510390,510390,900000,0.5,3405.3,9449.3,4.2793,3851385.3,0.0,0,沪深300ETF平安
26,20241010,1,510410,510410,1000000,0.4,44.28,1447.28,1.2506,1250582.28,0.0,0,资源ETF
27,20241010,1,510500,510500,400000,0.6,-712.15,-4393.15,5.8294,2331755.85,0.0,0,中证500ETF
28,20241010,1,510510,510510,2000000,0.5,-24888.88,-19148.88,1.7933,3586672.12,0.0,0,中证500ETF基金
29,20241010,1,510530,510530,500000,0.5,18006.31,20562.31,6.0327,3016368.31,0.0,0,工银中证500ETF
30,20241010,1,510550,510550,2000000,0.5,10149.91,3390.91,1.4429,2885717.91,0.0,0,方正中证500ETF
31,20241010,1,510560,510560,2000000,0.5,5876.6,1037.6,1.3223,2644623.6,0.0,0,国寿500ETF
32,20241010,1,510570,510570,2500000,0.5,42021.84,32841.84,0.8948,2236943.84,0.0,0,兴业中证500ETF
33,20241010,1,510580,510580,800000,0.7,9630.87,7966.87,2.8718,2297479.87,0.0,0,中证500ETF易方达
34,20241010,1,510590,510590,400000,0.5,9032.47,1563.47,5.9268,2370725.47,0.0,0,中证500ETF平安
35,20241010,1,510600,510600,300000,0.5,16950.75,17239.75,3.4335,1030046.75,0.0,0,申万上证50ETF
