,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
0,20241022,1,510010,510010,1000000,0.3,-18811.6,-16964.6,1.604,1603851.4,0.0,0,180治理ETF
1,20241022,1,510020,510020,100000,0.4,328.41,-111.59,3.0906,309055.41,0.0,0,超大盘ETF
2,20241022,1,510030,510030,500000,0.5,85.49,247.49,0.993,496270.49,0.0,0,价值ETF
3,20241022,1,510050,510050,900000,0.5,5755.98,6458.7,2.79,2510976.3,0.0,0,上证50ETF
4,20241022,1,510060,510060,1000000,0.5,18351.86,18335.86,2.4929,2492856.86,0.0,0,央企ETF
5,20241022,1,510090,510090,500000,0.4,49276.7,57379.7,2.5011,1250540.7,0.0,0,ESGETF基金
6,20241022,1,510100,510100,600000,0.5,-1583.28,-1583.28,1.3637,818211.72,0.0,0,上证50ETF易方达
7,20241022,1,510130,510130,400000,0.5,10836.05,10255.05,5.8611,2344444.05,0.0,0,中盘ETF
8,20241022,1,510150,510150,2000000,0.3,-53785.97,-53900.97,0.5202,1040441.03,0.0,0,消费ETF
9,20241022,1,510160,510160,2000000,0.5,25.27,-306.73,0.851,1701947.27,0.0,0,产业升级ETF
10,20241022,1,510170,510170,2000000,0.5,1774.53,1774.53,0.916,1832012.53,0.0,0,大宗商品ETF
11,20241022,1,510180,510180,500000,0.5,-29187.45,-29302.45,3.7821,1891040.55,0.0,0,上证180ETF
12,20241022,1,510190,510190,500000,0.5,-68894.86,-69009.86,3.7995,1899733.14,0.0,0,上证50ETF指数基金
13,20241022,1,510200,510200,500000,0.8,-436.39,1307.61,1.2367,618370.61,0.0,0,上证券商ETF
14,20241022,1,510210,510210,3000000,0.5,26.41,2770.41,0.799,2395893.41,0.0,0,上证指数ETF
15,20241022,1,510230,510230,1000000,0.3,-2777.85,-2777.85,1.2905,1290462.15,0.0,0,金融ETF
16,20241022,1,510270,510270,1000000,0.5,-44870.85,-44985.85,1.3367,1336694.15,0.0,0,国企ETF
17,20241022,1,510290,510290,2000000,1.0,-4349.95,-12082.95,1.9439,3887810.05,0.0,0,上证380ETF
18,20241022,1,510300,510300,900000,0.5,5097.9,7050.9,4.0186,3616707.9,0.0,0,沪深300ETF
19,20241022,1,510310,510310,900000,0.5,-854.17,-854.17,3.857,3471332.83,0.0,0,沪深300ETF易方达
20,20241022,1,510330,510330,900000,0.5,3803.81,2438.08,4.1125,3701241.75,0.0,0,沪深300ETF华夏
21,20241022,1,510350,510350,900000,0.5,12433.23,11486.23,3.969,3572122.23,0.0,0,工银沪深300ETF
22,20241022,1,510360,510360,3000000,0.5,22878.82,16723.82,1.4609,4382727.82,0.0,0,沪深300ETF基金
23,20241022,1,510370,510370,3000000,0.5,40394.2,41044.2,0.8672,2601458.2,0.0,0,300指数ETF
24,20241022,1,510380,510380,3000000,0.5,-30566.53,-39243.53,1.1269,3380845.47,0.0,0,国寿300ETF
25,20241022,1,510390,510390,900000,0.5,11633.39,8930.39,4.2635,3837146.39,0.0,0,沪深300ETF平安
26,20241022,1,510410,510410,1000000,0.4,91.78,-255.22,1.283,1282971.78,0.0,0,资源ETF
27,20241022,1,510500,510500,400000,0.6,-2542.71,-1883.71,5.7988,2319514.29,0.0,0,中证500ETF
28,20241022,1,510510,510510,2000000,0.5,-14673.94,-23540.94,1.7838,3567628.06,0.0,0,中证500ETF基金
29,20241022,1,510530,510530,500000,0.5,14886.89,15728.89,6.0068,3003418.89,0.0,0,工银中证500ETF
30,20241022,1,510550,510550,2000000,0.5,19602.87,24138.87,1.4386,2877145.87,0.0,0,方正中证500ETF
31,20241022,1,510560,510560,2000000,0.5,6819.46,9259.46,1.3221,2644214.46,0.0,0,国寿500ETF
32,20241022,1,510570,510570,2500000,0.5,39065.31,39582.31,0.8915,2228870.31,0.0,0,兴业中证500ETF
33,20241022,1,510580,510580,800000,0.5,5129.77,4306.77,2.8571,2285695.77,0.0,0,中证500ETF易方达
34,20241022,1,510590,510590,400000,0.5,7998.6,12517.6,5.9054,2362167.6,0.0,0,中证500ETF平安
35,20241022,1,510600,510600,300000,0.5,18498.67,18498.67,3.4383,1031489.67,0.0,0,申万上证50ETF
36,20241022,1,510630,510630,1000000,0.5,-10846.66,-5978.56,0.9308,930763.54,0.0,0,消费30ETF
37,20241022,1,510650,510650,500000,0.5,5335.19,4964.19,2.663,1331508.19,0.0,0,金融地产ETF
38,20241022,1,510660,510660,500000,0.5,1202.77,904.19,2.1542,1077087.76,0.0,0,医药卫生ETF
39,20241022,1,510680,510680,300000,0.5,-31025.14,-31025.14,2.7625,828763.86,0.0,0,上证50ETF基金
40,20241022,1,510710,510710,300000,0.4,424.0,424.0,3.6717,1101524.0,0.0,0,上证50ETF博时
