,代码,总股本,最新价,总市值,排名
3619,300478,126673000.0,8.66,1096988180.0,1.0
2076,600768,133747200.0,8.58,1147550976.0,2.0
428,001211,72000000.0,16.44,1183680000.0,3.0
2903,603709,125928400.0,9.48,1193801232.0,4.0
3979,300854,101088500.0,12.56,1269671560.0,5.0
1845,600493,272000000.0,4.73,1286560000.0,6.0
1818,600455,62458000.0,20.6,1286634800.0,7.0
4113,300995,84160000.0,15.57,1310371200.0,8.0
1585,600137,97217588.0,13.59,1321187020.92,9.0
4023,300899,63783466.0,20.82,1327971762.1200001,10.0
691,002188,292538575.0,4.65,1360304373.75,11.0
191,000638,311386551.0,4.41,1373214689.91,12.0
3559,300417,134563200.0,10.22,1375235904.0,13.0
2493,603022,200000000.0,6.91,1382000000.0,14.0
492,001336,80373500.0,17.35,1394480225.0,15.0
4406,301336,40000000.0,35.49,1419600000.0,16.0
793,002295,250616000.0,5.75,1441042000.0,17.0
4074,300955,100800000.0,14.51,1462608000.0,18.0
4128,301010,108000000.0,13.64,1473120000.0,19.0
2598,603159,140000000.0,10.62,1486800000.0,20.0
3472,300321,88800000.0,16.78,1490064000.0,21.0
3776,300640,312452427.0,4.8,1499771649.6,22.0
1304,002853,186542748.0,8.05,1501669121.4,23.0
1283,002830,133340000.0,11.27,1502741800.0,24.0
1455,003017,84000000.0,17.92,1505280000.0000002,25.0
4010,300886,74555000.0,20.23,1508247650.0,26.0
4144,301027,147861140.0,10.22,1511140850.8000002,27.0
2174,600883,236088000.0,6.41,1513324080.0,28.0
2513,603045,135445155.0,11.23,1521049090.65,29.0
3850,300717,102775000.0,14.82,1523125500.0,30.0
