,status_msg,order_id,status,symbol,amount,trade_amount,trade_price,order_type,direction,offset_flag,price,price_type,datetime,secondary_order_id
0,,1082147323,,603159.SH,9000,9000,10.68,23,48,48,10.68,50,20241016 11:06:03,1082147323
1,,1082147322,,603022.SH,14000,14000,6.93,23,48,48,6.93,50,20241016 11:06:03,1082147322
2,,1082147327,,600137.SH,700,200,13.71,23,48,48,13.71,50,20241016 11:06:04,1082147327
3,,1082147338,,603022.SH,14000,14000,6.93,23,48,48,6.93,50,20241016 11:06:07,1082147338
4,,1082147340,,600137.SH,700,200,13.71,23,48,48,13.71,50,20241016 11:06:07,1082147340
5,,1082147337,,603159.SH,9000,9000,10.68,23,48,48,10.68,50,20241016 11:06:07,1082147337
6,,1082147363,,603022.SH,14000,14000,6.93,23,48,48,6.93,50,20241016 11:06:44,1082147363
7,,1082147367,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:06:46,1082147367
8,,1082147374,,603159.SH,9000,9000,10.67,23,48,48,10.67,50,20241016 11:06:48,1082147374
9,,1082147379,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:06:57,1082147379
10,,1082147381,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:06:58,1082147381
11,,1082147533,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:01,1082147533
12,,1082147540,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:03,1082147540
13,内部错误，请联,1082147538,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:04,1082147538
14,,1082147559,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:06,1082147559
15,,1082147554,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:06,1082147554
16,内部错误，请联,1082147557,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:07,1082147557
17,,1082147574,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:09,1082147574
18,内部错误，请联,1082147576,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:10,1082147576
19,,1082147579,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:10,1082147579
20,,1082147590,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:15,1082147590
21,内部错误，请联,1082147592,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:17,1082147592
22,,1082147595,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:16,1082147595
23,,1082147606,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:19,1082147606
24,内部错误，请联,1082147608,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:19,1082147608
25,,1082147611,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:20,1082147611
26,,1082147621,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:24,1082147621
27,内部错误，请联,1082147622,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:26,1082147622
28,,1082147625,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:25,1082147625
29,内部错误，请联,1082147636,内部错误，请联,603159.SH,900,0,0.0,23,48,48,10.67,50,20241016 11:07:30,1082147636
30,,1082147635,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:29,1082147635
31,,1082147639,,603022.SH,1400,1400,6.93,23,48,48,6.93,50,20241016 11:07:29,1082147639
32,,1082147648,,600137.SH,700,200,13.72,23,48,48,13.72,50,20241016 11:07:33,1082147648
