,symbol,volume,can_use_volume,frozen_volume,market_value
0,600137.SH,23200,18200,0,315288.0
1,600455.SH,43800,43800,0,902280.0000000001
2,600493.SH,151300,151300,0,715649.0000000001
3,600768.SH,91900,91900,0,786664.0
4,603022.SH,82600,0,0,570766.0
5,603045.SH,69500,69500,0,779095.0000000001
6,603159.SH,27000,0,0,286740.0
7,603709.SH,72000,72000,0,681120.0000000001
8,000638.SZ,168900,0,0,743160.0000000001
9,001211.SZ,44300,0,0,730507.0000000001
10,001336.SZ,39600,39600,0,686664.0
11,002188.SZ,152700,152700,0,708528.0
12,002295.SZ,127800,127800,0,733572.0
13,002853.SZ,92300,0,0,742092.0000000001
14,002921.SZ,40600,40600,0,425488.0
15,123054.SZ,300,0,300,42930.0
16,300069.SZ,14400,5900,8500,203616.0
17,300321.SZ,27600,0,0,461748.0
18,300417.SZ,27000,0,0,276480.0
19,300478.SZ,90500,90500,0,783730.0
20,300535.SZ,16000,16000,0,260320.0
21,300665.SZ,66000,0,66000,414480.0
22,300749.SZ,65600,59600,6000,409344.0
23,300854.SZ,36000,19200,0,451440.00000000006
24,300877.SZ,30400,19800,0,393984.0
25,300886.SZ,12200,12200,0,246440.0
26,300899.SZ,10000,10000,0,208400.0
27,300931.SZ,120500,120500,0,765175.0000000001
28,300948.SZ,67900,67900,0,767270.0
29,300955.SZ,42800,17000,0,621028.0
30,300995.SZ,43800,43800,0,681090.0
31,301010.SZ,30400,16000,0,413440.0
32,301027.SZ,86800,86800,0,886228.0000000001
33,301098.SZ,87900,87900,0,772641.0000000001
34,301167.SZ,6800,3300,3500,98056.0
35,301273.SZ,26400,0,26400,456983.99999999994
36,301336.SZ,22500,22500,0,794925.0
