,股票代码,股票简称,最新价,最新涨跌幅,上市板块,总股本[20241015],归属于母公司所有者的净利润[20240630],注册地址,经营范围,营业收入[20240630],归属母公司股东的净利润(同比增长率)[20240630],流通a股[20241015],总市值[20241015],归属母公司股东的净利润(ttm)[20241015],market_code,code,总股本,归母净利润,代码
0,000001.SZ,平安银行,12.06,1.344537815,主板,19405918198,25879000000.0,广东省深圳市罗湖区深南东路5047号,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；结汇、售汇业务；离岸银行业务；资产托管业务；办理黄金业务；财务顾问、资信调查、咨询、见证业务；经有关监管机构批准的其他业务。,77132000000.0,1.938,19405617528,230930426556.2,46947000000.0,33,000001,19405918198,46947000000.0,000001.SZ
4,000007.SZ,全新好,6.64,-2.209131075,主板,346448044,3096026.42,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；自有物业租赁；环保产品的技术开发；信息咨询（不含限制项目）；项目投资；矿业投资；矿产品的销售（不含专营、专控、专卖商品），经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资金融服务项目并进行投资管理（不得从事证券投资活动；不得以公开方式募集资金开展投资活动；不得从事公开募集基金管理业务）；从事其他投资与投资管理。,78530287.39,-74.4905,308948044,2352382218.76,26928556.7,33,000007,346448044,26928556.7,000007.SZ
6,000009.SZ,中国宝安,8.69,-0.912200684,主板,2579213965,195791762.24,广东省深圳市罗湖区笋岗东路1002号宝安广场A座28-29层,新材料、新能源材料、新能源等高新技术产业项目的投资及经营；现代生物医药项目的投资及经营；房地产开发经营。,10029771698.37,-60.1781,2551430324,22619706473.05,460582044.27,33,000009,2579213965,460582044.27,000009.SZ
8,000011.SZ,深物业A,9.23,2.783964365,主板,595979092,9212457.81,广东省深圳市罗湖区人民南路国贸大厦39层、42层,房地产开发及商品房销售，商品楼宇的建筑、管理，房屋租赁，建设监理。国内商业、物资供销业(不含专营、专卖、专控商品)。,856028445.25,-95.8296,526475543,4990255238.0685,252323505.29,33,000011,595979092,252323505.29,000011.SZ
9,000012.SZ,南玻A,5.41,1.500938086,主板,3070692107,733111562.0,广东省深圳市南山区蛇口工业六路一号南玻大厦,进行平板玻璃、工程玻璃等节能建筑材料，硅材料、光伏组件等可再生能源产品及精细玻璃、结构陶瓷等新型材料和高科技产品的生产、制造和销售（涉及生产许可证、环保批文的项目由各子公司另行申报），为各子公司提供经营决策、管理咨询、市场信息、技术支持与岗位培训等方面的相关协调和服务。,8078970651.0,-17.5796,1959279645,13095229064.721,1499247228.0,33,000012,3070692107,1499247228.0,000012.SZ
10,000014.SZ,沙河股份,10.12,3.265306122,主板,242046224,54107589.97,广东省深圳市南山区白石路2222号沙河世纪楼,在合法取得土地使用权范围内从事房地产开发经营业务；国内商业、物资供销业（不含专营、专控、专卖商品）；兴办实业（具体项目另报）；自有物业租赁。,271742649.9,-87.6768,242046224,2372052995.2,136802443.88,33,000014,242046224,136802443.88,000014.SZ
12,000017.SZ,深中华A,5.94,0.337837838,主板,689184933,5717642.69,广东省深圳市罗湖区布心路3008号,一般经营项目是：研发自行车、电动自行车、电动摩托车、摩托车、电动三轮车、电动四轮车、儿童自行车、健身车、运动器械、机械产品、玩具、电动玩具、电子产品、新能源设备及储电设备（锂电池、电池等）、家用电器及其零配件、电子元器件；上述产品的批发、零售、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）；精细化工产品（不含危险品）、碳纤维复合材料的批发、零售；计算机软件的技术开发、转让自行开发的技术成果，并提供相关的技术信息咨询；自有物业租赁；物业管理。（以上项目不涉及国家规定实施准入特别管理措施，涉及限制项目及前置性行政许可的，须取得前置性行政许可文件后方可经营）；珠宝首饰批发；珠宝首饰零售；珠宝首饰制造；供应链管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：生产自行车、电动自行车、电动摩托车、摩托车、电动三轮车、电动四轮车、儿童自行车、健身车、运动器械、机械产品、玩具、电动玩具、电子产品、新能源设备及储电设备（锂电池、电池等）、家用电器及其零配件、电子元器件。（以上项目不涉及国家规定实施准入特别管理措施，涉及限制项目及前置性行政许可的，须取得前置性行政许可文件后方可经营）。,213499597.25,17.5913,302984965,3031084532.3329,18757292.03,33,000017,689184933,18757292.03,000017.SZ
13,000019.SZ,深粮控股,6.47,0.778816199,主板,1152535254,129030850.78,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,一般经营项目：粮油收购和销售、粮油储备；粮油及制品经营及加工；生产茶叶、茶制品、茶及天然植物提取物、食品罐头、饮料、土产品(生产场所营业执照另行申办)；饲料的经营及加工（以外包的方式经营）；粮油物流、饲料物流、茶园等项目投资、经营管理及开发；饲料、茶叶销售；仓储服务；粮食流通服务；现代粮食供应链服务；粮油、茶、植物产品、软饮料和食品的技术开发、技术服务；电子商务及信息化建设，信息技术开发及配套服务；投资兴办实业（具体项目另行申报）；国内贸易；经营进出口业务；在合法取得使用权的土地上从事房地产开发经营；自有物业的开发、经营、租售、管理；物业管理；为酒店提供管理服务。(以上涉及国家法律、行政法规、国务院决定规定须报经审批的项目，须经审批后方可经营)。许可证经营项目：预包装食品（不含复热预包装食品）的批发（非实物方式）；信息服务业务（仅限互联网信息服务业务）；普通货运、专业运输（冷藏保鲜）。,2416452919.61,-23.2643,416216407,7226137858.9716,308705816.15,33,000019,1152535254,308705816.15,000019.SZ
14,000020.SZ,深华发A,13.4,-3.597122302,主板,283161227,10054579.8,广东省深圳市福田区华发北路411栋,生产经营各种彩色电视机、液晶显示器、液晶显示屏（在分支机构生产经营）、收录机、音响设备、电子表、电子游戏机、电脑等各类电子产品及配套的印制线路板、精密注塑件、轻型包装材料（在武汉生产经营）、五金件（含工模具），电镀及表面处理、焊锡丝，房地产开发经营（深房地产第7226760号），物业管理。,408182515.91,27.6403,181165391,2788031468.9339,15519614.89,33,000020,283161227,15519614.89,000020.SZ
15,000021.SZ,深科技,15.69,-0.759013283,主板,1560587588,360316903.43,广东省深圳市福田区彩田路7006号,开发、生产、经营计算机软、硬件系统及其外部设备、通讯设备、电子仪器仪表及其零部件、元器件、接插件和原材料，生产、经营家用商品电脑及电子玩具(以上生产项目均不含限制项目)；金融计算机软件模型的制作和设计、精密模具CAD/CAM技术、节能型自动化机电产品和智能自动化控制系统办公自动化设备、激光仪器、光电产品及金卡系统、光通讯系统和信息网络系统的技术开发和安装工程。商用机器(含税控设备、税控系统)、机顶盒、表计类产品(水表、气表等)、网络多媒体产品的开发、设计、生产、销售及服务；金融终端设备的开发、设计、生产、销售、技术服务、售后服务及系统集成。经营进出口业务；普通货运；房屋、设备及固定资产租赁；LED照明产品的研发、生产和销售，合同能源管理；节能服务、城市亮化、照明工程的设计、安装、维护。医疗器械产品的生产和销售。,7054564140.96,21.3849,1560423713,24672889766.28,708079800.68,33,000021,1560587588,708079800.68,000021.SZ
