分数档次	物理(含优惠分)人数	物理累计人数	历史(含优惠分)人数	历史累计人数
689及以上	31	31		
688	9	40		
687	6	46		
686	5	51		
685	5	56		
684	7	63		
683	7	70		
682	7	77		
681	15	92		
680	21	113		
679	15	128		
678	11	139		
677	16	155		
676	21	176		
675	17	193		
674	17	210		
673及以上	18	228	32	32
672	28	256	1	33
671	35	291	0	33
670	22	313	7	40
669	28	341	3	43
668	29	370	5	48
667	26	396	6	54
666	37	433	6	60
665	44	477	6	66
664	40	517	8	74
663	46	563	7	81
662	40	603	8	89
661	57	660	4	93
660	60	720	14	107
659	64	784	5	112
658	69	853	11	123
657	75	928	13	136
656	72	1000	16	152
655	63	1063	15	167
654	79	1142	21	188
653	81	1223	20	208
652	112	1335	18	226
651	87	1422	22	248
650	96	1518	23	271
649	88	1606	26	297
648	100	1706	35	332
647	111	1817	37	369
646	112	1929	28	397
645	130	2059	23	420
644	133	2192	35	455
643	142	2334	41	496
642	139	2473	37	533
641	149	2622	31	564
640	156	2778	39	603
639	174	2952	46	649
638	144	3096	38	687
637	167	3263	36	723
636	169	3432	61	784
635	196	3628	48	832
634	195	3823	44	876
633	194	4017	55	931
632	203	4220	57	988
631	231	4451	59	1047
630	254	4705	66	1113
629	191	4896	79	1192
628	268	5164	65	1257
627	245	5409	65	1322
626	248	5657	78	1400
625	254	5911	74	1474
624	279	6190	69	1543
623	287	6477	98	1641
622	289	6766	73	1714
621	302	7068	100	1814
620	320	7388	105	1919
619	325	7713	80	1999
618	358	8071	97	2096
617	338	8409	93	2189
616	341	8750	122	2311
615	396	9146	114	2425
614	369	9515	106	2531
613	393	9908	120	2651
612	400	10308	113	2764
611	407	10715	118	2882
610	425	11140	116	2998
609	425	11565	126	3124
608	435	12000	121	3245
607	449	12449	123	3368
606	449	12898	115	3483
605	487	13385	136	3619
604	451	13836	122	3741
603	498	14334	141	3882
602	532	14866	139	4021
601	521	15387	154	4175
600	563	15950	125	4300
599	503	16453	151	4451
598	519	16972	150	4601
597	589	17561	169	4770
596	550	18111	163	4933
595	552	18663	181	5114
594	615	19278	155	5269
593	615	19893	160	5429
592	618	20511	176	5605
591	636	21147	198	5803
590	625	21772	170	5973
589	661	22433	194	6167
588	622	23055	189	6356
587	652	23707	204	6560
586	653	24360	178	6738
585	681	25041	208	6946
584	680	25721	192	7138
583	719	26440	198	7336
582	743	27183	182	7518
581	718	27901	190	7708
580	794	28695	232	7940
579	761	29456	204	8144
578	801	30257	236	8380
577	823	31080	215	8595
576	770	31850	256	8851
575	823	32673	215	9066
574	803	33476	243	9309
573	776	34252	240	9549
572	857	35109	237	9786
571	815	35924	235	10021
570	824	36748	250	10271
569	869	37617	259	10530
568	873	38490	284	10814
567	942	39432	263	11077
566	938	40370	247	11324
565	921	41291	312	11636
564	920	42211	311	11947
563	918	43129	276	12223
562	878	44007	262	12485
561	962	44969	278	12763
560	926	45895	289	13052
559	916	46811	283	13335
558	972	47783	306	13641
557	1007	48790	292	13933
556	1001	49791	288	14221
555	1017	50808	322	14543
554	1068	51876	279	14822
553	1077	52953	322	15144
552	1036	53989	288	15432
551	1056	55045	368	15800
550	1035	56080	318	16118
549	1070	57150	331	16449
548	1086	58236	327	16776
547	1152	59388	330	17106
546	1061	60449	328	17434
545	1118	61567	366	17800
544	1183	62750	319	18119
543	1159	63909	339	18458
542	1165	65074	336	18794
541	1100	66174	347	19141
540	1203	67377	395	19536
539	1196	68573	390	19926
538	1188	69761	339	20265
537	1225	70986	397	20662
536	1218	72204	371	21033
535	1230	73434	408	21441
