,2024年河北省普通高校招生本科批平行志愿投档情况统计历史,院校名称,专业代号,专业名称,投档最低分,同分考生排序项一,二,三,四,五,六,志愿号
1,0005,安徽财经大学(蚌埠市)[公办],01,经济学类,590,214,123,113,85,93,85,12
2,0005,安徽财经大学(蚌埠市)[公办],02,财政学类,595,212,119,112,87,97,87,40
3,0005,安徽财经大学(蚌埠市)[公办],03,金融学,596,218,127,134,75,90,79,25
4,0005,安徽财经大学(蚌埠市)[公办],04,经济与贸易类,575,186,109,120,92,90,87,4
5,0005,安徽财经大学(蚌埠市)[公办],05,法学,600,221,111,117,81,91,90,28
6,0005,安徽财经大学(蚌埠市)[公办],06,日语,543,199,115,100,85,80,79,21
7,0005,安徽财经大学(蚌埠市)[公办],07,商务英语,575,184,109,134,84,92,81,10
8,0005,安徽财经大学(蚌埠市)[公办],08,新闻传播学类,578,190,111,135,83,94,76,26
9,0005,安徽财经大学(蚌埠市)[公办],09,工商管理类,585,194,118,122,89,90,90,31
10,0005,安徽财经大学(蚌埠市)[公办],10,会计学,603,218,124,130,79,89,87,36
11,0005,安徽财经大学(蚌埠市)[公办],11,国际商务,574,201,103,125,79,90,79,13
12,0005,安徽财经大学(蚌埠市)[公办],12,审计学,598,210,123,121,84,93,90,13
13,0005,安徽财经大学(蚌埠市)[公办],13,资产评估,585,204,121,135,87,86,73,30
14,0005,安徽财经大学(蚌埠市)[公办],14,公共管理类,566,190,123,117,85,87,87,1
15,0005,安徽财经大学(蚌埠市)[公办],15,电子商务,559,210,127,91,79,90,89,20
16,0008,安徽大学[公办],01,经济学,611,215,116,133,85,91,87,21
17,0008,安徽大学[公办],02,金融学,610,220,124,127,91,90,82,45
18,0008,安徽大学[公办],03,法学类,623,225,123,117,95,95,91,27
19,0008,安徽大学[公办],04,汉语言文学,618,228,119,135,81,92,82,16
20,0008,安徽大学[公办],05,英语,608,217,124,137,79,88,87,37
21,0008,安徽大学[公办],06,新闻传播学类,605,220,119,131,74,92,88,16
22,0008,安徽大学[公办],07,工商管理类,610,221,120,130,79,95,85,36
23,0013,安徽工业大学(马鞍山市)[公办],01,国际经济与贸易,556,195,111,111,78,87,85,31
24,0013,安徽工业大学(马鞍山市)[公办],02,法学,583,211,108,122,73,92,85,18
25,0013,安徽工业大学(马鞍山市)[公办],03,英语,556,193,116,121,80,90,72,28
26,0013,安徽工业大学(马鞍山市)[公办],04,市场营销,551,196,118,116,59,92,88,16
27,0013,安徽工业大学(马鞍山市)[公办],05,会计学,581,200,106,111,86,94,90,2
28,0013,安徽工业大学(马鞍山市)[公办],06,公共事业管理,557,188,128,112,88,92,77,24
29,0013,安徽工业大学(马鞍山市)[公办],07,行政管理,563,202,103,118,72,90,81,21
30,0027,安徽农业大学(合肥市)[公办],01,经济学,570,179,114,128,88,88,87,33
31,0027,安徽农业大学(合肥市)[公办],02,国际经济与贸易,565,197,109,119,72,93,84,14
32,0027,安徽农业大学(合肥市)[公办],03,社会工作,559,201,109,108,74,88,88,3
33,0027,安徽农业大学(合肥市)[公办],04,汉语言文学,585,198,121,123,85,92,87,36
34,0027,安徽农业大学(合肥市)[公办],05,电子商务,553,197,113,99,79,93,85,31
35,0031,安徽师范大学(芜湖市)[公办],02,经济学,577,209,121,115,80,87,86,4
36,0031,安徽师范大学(芜湖市)[公办],03,法学,593,217,112,127,73,90,86,38
37,0031,安徽师范大学(芜湖市)[公办],04,社会工作,560,193,115,103,84,87,83,1
38,0031,安徽师范大学(芜湖市)[公办],05,思想政治教育,584,220,117,123,86,81,74,14
39,0031,安徽师范大学(芜湖市)[公办],06,教育学,566,205,114,89,89,94,89,13
40,0031,安徽师范大学(芜湖市)[公办],07,学前教育,564,197,111,109,80,91,87,37
41,0031,安徽师范大学(芜湖市)[公办],08,汉语言文学,591,212,115,111,84,92,92,19
42,0031,安徽师范大学(芜湖市)[公办],09,汉语国际教育,579,199,118,122,81,93,84,25
43,0031,安徽师范大学(芜湖市)[公办],10,秘书学,578,210,125,115,78,92,83,52
44,0031,安徽师范大学(芜湖市)[公办],11,俄语,545,202,127,115,73,87,68,25
45,0031,安徽师范大学(芜湖市)[公办],12,法语,548,161,113,112,84,97,94,8
46,0031,安徽师范大学(芜湖市)[公办],13,日语,547,207,110,107,75,79,79,13
47,0031,安徽师范大学(芜湖市)[公办],14,葡萄牙语,540,184,105,111,80,84,81,57
48,0031,安徽师范大学(芜湖市)[公办],15,新闻学,577,211,120,124,76,87,79,18
49,0031,安徽师范大学(芜湖市)[公办],16,广告学,567,189,110,116,85,90,87,22
