,2024年河北省普通高校招生本科批平行志愿投档情况统计物理,院校名称,专业代号,专业名称,投档最低分,同分考生排序项一,二,三,四,五,六,志愿号,
1,0005,安徽财经大学(蚌埠市)[公办],16,经济学类,561,208,108,104,70,91,88,32,
2,0005,安徽财经大学(蚌埠市)[公办],17,经济统计学,565,224,113,112,59,90,80,1,
3,0005,安徽财经大学(蚌埠市)[公办],18,数字经济,551,205,107,121,52,94,79,6,
4,0005,安徽财经大学(蚌埠市)[公办],19,财政学类,571,215,108,125,57,87,87,21,
5,0005,安徽财经大学(蚌埠市)[公办],20,金融学类,561,207,105,117,62,89,86,5,
6,0005,安徽财经大学(蚌埠市)[公办],21,金融学,572,222,118,115,59,89,87,30,
7,0005,安徽财经大学(蚌埠市)[公办],22,金融工程,555,212,108,117,67,86,73,66,
8,0005,安徽财经大学(蚌埠市)[公办],23,经济与贸易类,546,215,110,113,62,82,74,30,
9,0005,安徽财经大学(蚌埠市)[公办],24,法学,577,230,121,123,53,86,85,12,
10,0005,安徽财经大学(蚌埠市)[公办],25,数学与应用数学,560,230,122,124,58,80,68,16,
11,0005,安徽财经大学(蚌埠市)[公办],26,统计学,571,225,117,111,65,87,83,16,
12,0005,安徽财经大学(蚌埠市)[公办],27,电子信息类,568,211,111,134,53,85,85,18,
13,0005,安徽财经大学(蚌埠市)[公办],28,数据科学与大数据技术,572,229,116,105,65,87,86,36,
14,0005,安徽财经大学(蚌埠市)[公办],29,管理科学与工程类,542,207,107,119,51,85,80,36,
15,0005,安徽财经大学(蚌埠市)[公办],30,工商管理类,553,221,123,112,56,93,71,37,
16,0005,安徽财经大学(蚌埠市)[公办],31,会计学,584,217,114,123,69,88,87,43,
17,0005,安徽财经大学(蚌埠市)[公办],32,财务管理,580,206,109,129,72,91,82,8,
18,0005,安徽财经大学(蚌埠市)[公办],33,国际商务,532,199,106,118,55,80,80,6,
19,0005,安徽财经大学(蚌埠市)[公办],34,审计学,584,225,122,137,53,85,84,15,
20,0005,安徽财经大学(蚌埠市)[公办],35,资产评估,558,206,113,113,70,87,82,64,
21,0005,安徽财经大学(蚌埠市)[公办],36,公共管理类,528,204,105,118,54,83,69,8,
