,985排名,名称,所在地
1,1,清华大学,北京
2,2,北京大学,北京
3,3,中国科学技术大学,安徽
4,4,复旦大学,上海
5,5,中国人民大学,北京
6,6,上海交通大学,上海
7,7,南京大学,江苏
8,8,同济大学,上海
9,9,浙江大学,浙江
10,10,南开大学,天津
11,11,北京航空航天大学,北京
12,12,北京师范大学,北京
13,13,武汉大学,湖北
14,14,西安交通大学,陕西
15,15,天津大学,天津
16,16,华中科技大学,湖北
17,17,北京理工大学,北京
18,18,东南大学,江苏
19,19,中山大学,广东
20,20,华东师范大学,上海
21,21,哈尔滨工业大学,黑龙江
22,22,厦门大学,福建
23,23,西北工业大学,陕西
24,24,中南大学,湖南
25,25,大连理工大学,辽宁
26,26,四川大学,四川
27,27,电子科技大学,四川
28,28,华南理工大学,广东
29,29,吉林大学,吉林
30,30,湖南大学,湖南
31,31,重庆大学,重庆
32,32,山东大学,山东
33,33,中国农业大学,北京
34,34,中国海洋大学,山东
35,35,中央民族大学,北京
36,36,东北大学,辽宁
37,37,兰州大学,甘肃
38,38,西北农林科技大学,陕西
39,暂无,国防科技大学,湖南
