,fraction,ranking
0,638,11
1,637,12
2,634,16
3,633,19
4,632,20
5,631,22
6,630,23
7,629,26
8,628,27
9,626,28
10,625,31
11,624,33
12,623,35
13,622,36
14,621,40
15,620,42
16,619,45
17,618,48
18,617,54
19,616,58
20,615,61
21,614,66
22,613,72
23,612,75
24,611,80
25,610,86
26,609,93
27,608,97
28,607,103
29,606,109
30,605,115
31,604,121
32,603,126
33,602,129
34,601,136
35,600,141
36,599,148
37,598,154
38,597,169
39,596,179
40,595,192
41,594,196
42,593,205
43,592,213
44,591,224
45,590,234
46,589,247
47,588,264
48,587,274
49,586,288
50,585,301
51,584,318
52,583,336
53,582,347
54,581,368
55,580,386
56,579,403
57,578,420
58,577,434
59,576,451
60,575,472
61,574,486
62,573,511
63,572,530
64,571,548
65,570,570
66,569,596
67,568,611
68,567,634
69,566,654
70,565,674
71,564,702
72,563,737
73,562,771
74,561,797
75,560,826
76,559,864
77,558,888
78,557,924
79,556,942
80,555,967
81,554,1008
82,553,1035
83,552,1060
84,551,1095
85,550,1127
86,549,1162
87,548,1193
88,547,1216
89,546,1254
90,545,1288
91,544,1321
92,543,1358
93,542,1399
94,541,1432
95,540,1465
96,539,1502
97,538,1540
98,537,1592
99,536,1630
100,535,1677
101,534,1728
102,533,1777
103,532,1820
104,531,1864
105,530,1911
106,529,1963
107,528,2023
108,527,2073
109,526,2140
110,525,2184
111,524,2250
112,523,2319
113,522,2367
114,521,2426
115,520,2482
116,519,2539
117,518,2604
118,517,2666
119,516,2726
120,515,2798
121,514,2857
122,513,2918
123,512,2994
124,511,3043
125,510,3112
126,509,3183
127,508,3251
128,507,3321
129,506,3407
130,505,3490
131,504,3547
132,503,3612
133,502,3698
134,501,3768
135,500,3851
136,499,3913
137,498,3994
138,497,4071
139,496,4144
140,495,4212
141,494,4305
142,493,4384
143,492,4471
144,491,4557
145,490,4645
146,489,4718
147,488,4799
148,487,4902
149,486,5000
150,485,5083
151,484,5193
152,483,5295
153,482,5380
154,481,5476
155,480,5564
156,479,5673
157,478,5780
158,477,5879
159,476,5964
160,475,6063
161,474,6160
162,473,6260
163,472,6374
164,471,6497
165,470,6623
166,469,6732
167,468,6832
168,467,6953
169,466,7074
170,465,7184
171,464,7292
172,463,7411
173,462,7537
174,461,7653
175,460,7762
176,459,7873
177,458,7998
178,457,8107
179,456,8255
180,455,8398
181,454,8525
182,453,8634
183,452,8757
184,451,8883
185,450,9034
186,449,9154
187,448,9267
188,447,9388
189,446,9517
190,445,9650
191,444,9776
192,443,9897
193,442,10023
194,441,10173
195,440,10303
196,439,10427
197,438,10562
198,437,10697
199,436,10816
200,435,10940
201,434,11066
202,433,11191
203,432,11329
204,431,11465
205,430,11586
206,429,11719
207,428,11868
208,427,12009
209,426,12136
210,425,12275
211,424,12423
212,423,12567
213,422,12726
214,421,12842
215,420,12972
216,419,13098
217,418,13227
218,417,13376
219,416,13497
220,415,13636
221,414,13783
222,413,13928
223,412,14081
224,411,14212
225,410,14357
226,409,14492
227,408,14636
228,407,14756
229,406,14913
230,405,15057
231,404,15184
232,403,15309
233,402,15431
234,401,15577
235,400,15715
236,399,15875
237,398,16011
238,397,16180
239,396,16308
240,395,16438
241,394,16571
242,393,16696
243,392,16814
244,391,16961
245,390,17106
246,389,17250
247,388,17390
248,387,17548
249,386,17686
250,385,17842
251,384,17992
252,383,18130
253,382,18266
254,381,18406
255,380,18521
256,379,18670
257,378,18834
258,377,18959
259,376,19100
260,375,19232
261,374,19360
262,373,19489
263,372,19646
264,371,19792
265,370,19927
266,369,20072
267,368,20198
268,367,20334
269,366,20468
270,365,20607
271,364,20728
272,363,20850
273,362,20960
274,361,21075
275,360,21193
276,359,21351
277,358,21467
278,357,21613
279,356,21761
280,355,21903
281,354,22027
282,353,22145
283,352,22257
284,351,22377
285,350,22495
286,349,22616
287,348,22729
288,347,22844
289,346,22953
290,345,23054
291,344,23174
292,343,23285
293,342,23377
294,341,23499
295,340,23610
296,339,23720
297,338,23836
298,337,23937
299,336,24051
300,335,24168
301,334,24288
302,333,24411
303,332,24509
304,331,24613
305,330,24711
306,329,24802
307,328,24921
308,327,25036
309,326,25143
310,325,25231
311,324,25325
312,323,25428
313,322,25535
314,321,25632
315,320,25735
316,319,25812
317,318,25907
318,317,25993
319,316,26089
320,315,26169
321,314,26252
322,313,26343
323,312,26433
324,311,26518
325,310,26614
326,309,26699
327,308,26785
328,307,26875
329,306,26971
330,305,27046
331,304,27139
332,303,27206
333,302,27282
334,301,27361
335,300,27427
336,299,27502
337,298,27563
338,297,27647
339,296,27715
340,295,27781
341,294,27843
342,293,27926
343,292,28009
344,291,28076
345,290,28127
346,289,28208
347,288,28265
348,287,28342
349,286,28404
350,285,28469
351,284,28531
352,283,28593
353,282,28664
354,281,28721
355,280,28783
