,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeProvince,CollegeLevel,CollegeCity
0,4,本科一批第一次,文科,17,暨南大学,377,1:1.05,533,526,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-429.dhtml,01,汉语言文学,非定向,2,566,2,4,6060,石牌校区,,654.0,广东省,"['211', 'DFC']",广州市
1,16,本科一批第一次,文科,10,北京大学,304,1:1,637,637,10,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1.dhtml,01,文科试验班类（元培）,非定向,1,649,1,4,5300,校本部,包含专业：中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类,,北京市,"['985', '211', 'DFC']",北京市
2,19,本科一批第一次,文科,8,华东政法大学,384,1:1,531,531,8,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-217.dhtml,01,法学（民商法律）,非定向,2,583,2,4,6500,松江校区,,336.0,上海市,,上海市
3,24,本科一批第一次,文科,12,北京物资学院,048,1:1,485,485,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-33.dhtml,01,经济学（实验班）,非定向,1,490,1,4,4200,校本部,,4645.0,北京市,,北京市
4,27,本科一批第一次,文科,10,西交利物浦大学,F98,1:1,525,525,10,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1228482.dhtml,01,工商管理类（中外合作办学）,非定向,4,528,5,4,88000,,专业课全英文授课，详见招生简章。包含专业：经济学(中外合作办学)、经济与金融(中外合作办学)、信息管理与信息系统(中外合作办学)、工商管理(中外合作办学)、市场营销(中外合作办学)、会计学(中外合作办学)、国际商务(中外合作办学)、人力资源管理(中外合作办学)、供应链管理(中外合作办学),2023.0,江苏省,,苏州市
5,33,本科一批第一次,文科,6,燕山大学,295,1:1,470,470,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-176.dhtml,01,经济与金融,非定向,2,505,2,4,5060,校本部,,3490.0,河北省,,秦皇岛市
6,42,本科一批第一次,文科,14,河北大学,630,1:1,487,487,14,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-65.dhtml,01,中国语言文学类,非定向,3,522,3,4,5060,七一路校区,包含专业：汉语言文学、汉语国际教育,2367.0,河北省,,保定市
7,48,本科一批第一次,文科,8,烟台大学,737,1:1,483,483,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-710.dhtml,01,汉语言文学,非定向,2,537,2,4,5060,主校区,,1592.0,山东省,,烟台市
8,51,本科一批第一次,文科,16,湖南中医药大学,B02,1:1,484,484,16,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-416.dhtml,01,中医学（卓越1班、5+3一体化）,非定向,1,572,1,5,7500,长沙市,,530.0,湖南省,,长沙市
9,57,本科一批第一次,文科,8,济南大学,306,1:1,489,489,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-334.dhtml,01,汉语言文学（师范类）,非定向,2,518,2,4,5280,校本部,,2604.0,山东省,,济南市
