,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,CollegeProvince,CollegeCity,CollegeLevel,ranking
0,184,本科一批第一次,文科,5,重庆工商大学,045,1:1,498,498,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-912.dhtml,重庆市,重庆市,,3994
1,190,本科一批第一次,文科,18,天津大学,303,1:1,583,583,18,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-49.dhtml,天津市,天津市,"['985', '211', 'DFC']",336
2,197,本科一批第一次,文科,8,首都经济贸易大学,522,1:1,489,489,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-34.dhtml,北京市,北京市,,2184
3,235,本科一批第一次,文科,2,上海大学,441,1:1,567,567,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-221.dhtml,上海市,上海市,"['211', 'DFC']",634
4,301,本科一批第一次,文科,2,山东科技大学,612,1:1,530,530,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-332.dhtml,山东省,青岛市,,1911
5,329,本科一批第一次,文科,2,黑龙江中医药大学,879,1:1,545,545,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-185.dhtml,黑龙江省,哈尔滨市,,1288
6,331,本科一批第三次,文科,3,沈阳理工大学,198,1:1.2,468,468,4,0,4,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-120.dhtml,辽宁省,沈阳市,,6832
7,361,本科一批第一次,文科,3,山西中医药大学,728,1:1,530,530,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-606.dhtml,山西省,太原市,,1911
8,363,本科一批第一次,文科,4,中国人民大学（苏州校区）,K53,1:1,588,588,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml,江苏省,苏州市,,179
9,472,本科一批第一次,文科,10,西交利物浦大学,F98,1:1,525,525,10,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1228482.dhtml,江苏省,苏州市,,2184
10,543,本科一批第一次,文科,13,天津中医药大学,564,1:1,494,494,13,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-56.dhtml,天津市,天津市,['DFC'],3407
11,562,本科一批第一次,文科,15,同济大学,309,1:1,592,592,15,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-198.dhtml,上海市,上海市,"['985', '211', 'DFC']",97
12,573,本科一批第一次,文科,5,北方工业大学,427,1:1,489,489,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-9.dhtml,北京市,北京市,,4718
13,597,本科一批第一次,文科,9,宁波诺丁汉大学,E76,1:1,526,526,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405725.dhtml,浙江省,宁波市,,2140
14,604,本科一批第一次,文科,3,温州大学,603,1:1,495,495,3,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-269.dhtml,浙江省,温州市,,2604
15,628,本科一批第一次,文科,18,北京师范大学一香港浸会大学联合国际学院,C98,1:1,503,503,18,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-398036.dhtml,广东省,珠海市,,3612
16,638,本科一批第一次,文科,12,西北农林科技大学,074,1:1,522,522,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-557.dhtml,陕西省,咸阳市,"['985', '211', 'DFC']",2367
17,646,本科一批第一次,文科,194,内蒙古科技大学包头师范学院,757,1:1,480,480,194,263,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6433938.dhtml,内蒙古自治区,包头市,,4799
18,789,本科一批第二次,文科,6,长春中医药大学,A32,1:1,517,517,6,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-162.dhtml,吉林省,长春市,,2666
19,809,本科一批第一次,文科,12,山东大学威海分校,313,1:1,544,544,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-330.dhtml,山东省,威海市,,1321
20,901,本科一批第一次,文科,30,内蒙古医科大学,758,1:1,512,512,30,37,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-111.dhtml,内蒙古自治区,呼和浩特市,,2994
21,1037,本科一批第一次,文科,5,西安交通大学,285,1:1,593,593,5,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-546.dhtml,陕西省,西安市,"['985', '211', 'DFC']",205
22,1067,本科一批第一次,文科,9,北京理工大学,199,1:1,584,584,9,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7.dhtml,北京市,北京市,"['985', '211', 'DFC']",318
23,1106,本科一批第一次,文科,13,东北大学,291,1:1,539,539,13,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-121.dhtml,辽宁省,沈阳市,"['985', '211', 'DFC']",1502
24,1111,本科一批第一次,文科,30,内蒙古科技大学包头医学院,759,1:1.2,494,486,36,51,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6426412.dhtml,内蒙古自治区,包头市,,4305
25,1116,本科一批第一次,文科,8,石家庄铁道大学,244,1:1,508,508,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-90.dhtml,河北省,石家庄市,,3251
26,1141,本科一批第一次,文科,2,东北大学秦皇岛分校,182,1:1,525,525,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-121.dhtml,河北省,秦皇岛市,,2184
27,1144,本科一批第一次,文科,9,宁夏大学,972,1:1,503,503,9,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-587.dhtml,宁夏回族自治区,银川市,"['211', 'DFC']",3612
28,1174,本科一批第一次,文科,2,四川师范大学,N65,1:1,528,528,2,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-490.dhtml,四川省,成都市,,2023
