,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
0,4,377,01,汉语言文学,非定向,2,566,2,4,6060,石牌校区,,654.0
1,16,304,01,文科试验班类（元培）,非定向,1,649,1,4,5300,校本部,包含专业：中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类,
2,19,384,01,法学（民商法律）,非定向,2,583,2,4,6500,松江校区,,336.0
3,24,048,01,经济学（实验班）,非定向,1,490,1,4,4200,校本部,,4645.0
4,27,F98,01,工商管理类（中外合作办学）,非定向,4,528,5,4,88000,,专业课全英文授课，详见招生简章。包含专业：经济学(中外合作办学)、经济与金融(中外合作办学)、信息管理与信息系统(中外合作办学)、工商管理(中外合作办学)、市场营销(中外合作办学)、会计学(中外合作办学)、国际商务(中外合作办学)、人力资源管理(中外合作办学)、供应链管理(中外合作办学),2023.0
5,33,295,01,经济与金融,非定向,2,505,2,4,5060,校本部,,3490.0
6,42,630,01,中国语言文学类,非定向,3,522,3,4,5060,七一路校区,包含专业：汉语言文学、汉语国际教育,2367.0
7,48,737,01,汉语言文学,非定向,2,537,2,4,5060,主校区,,1592.0
8,51,B02,01,中医学（卓越1班、5+3一体化）,非定向,1,572,1,5,7500,长沙市,,530.0
9,57,306,01,汉语言文学（师范类）,非定向,2,518,2,4,5280,校本部,,2604.0
10,64,298,01,人文科学试验班,非定向,2,599,4,4,5460,思明校区,专业分流后到戏剧影视文学专业学费9360元/学年。包含专业：汉语言文学、戏剧影视文学、汉语言、历史学、考古学、哲学,148.0
11,67,E63,01,法学,非定向,8,532,10,4,5280,,,1820.0
12,68,964,01,会计学,非定向,2,538,2,4,6500,文翔路校区,,1540.0
13,70,764,01,金融学,非定向,20,470,2,4,4400,校本部,,6623.0
14,73,702,01,哲学,非定向,3,511,3,4,5300,校本部,,3043.0
15,74,925,01,金融学,非定向,1,540,1,4,4600,观澜湖校区,,1465.0
16,77,061,01,金融学类,非定向,4,589,5,4,5000,北京,包含专业：金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学(含与大数据专业双学士学位项目),247.0
17,80,594,01,经济学类,非定向,3,487,3,4,5060,开封校区,包含专业：经济学、金融学、财政学、国际经济与贸易,4902.0
18,84,074,01,法学,非定向,2,568,2,4,5500,校本部,,611.0
19,85,025,01,财政学类,非定向,2,597,3,4,5000,按学校两校区建设规划和办学实际确定,包含专业：财政学、税收学,169.0
20,87,942,01,金融学,非定向,1,497,0,4,5000,长安校区,,4071.0
21,88,522,01,公共管理类,非定向,4,489,5,4,5000,校本部,包含专业：行政管理、土地资源管理、城市管理、城市管理(区域经济管理),4718.0
22,95,296,01,哲学,非定向,2,554,5,4,5000,甘肃兰州,,1008.0
23,101,562,01,汉语言文学（师范）,非定向,5,546,6,4,4400,主校区,,1254.0
24,105,875,01,哲学,非定向,2,491,2,4,2500,哈尔滨市,,4557.0
25,106,M32,01,思想政治教育,非定向,2,560,2,4,5000,主校区,,826.0
26,108,C98,01,工商管理类（中外合作办学）,非定向,4,506,4,4,100000,广东省珠海市,大类招生。工商管理专业培养创业与创新管理、电子商务与资讯系统管理、数字媒体管理方向；文化产业管理专业培养文化创意与管理，旅游、酒店与会展管理方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：财务管理(中外合作办学)、人力资源管理(中外合作办学)、市场营销(中外合作办学)、工商管理(中外合作办学)、文化产业管理(中外合作办学),3407.0
27,109,327,01,汉语言文学（师范）,非定向,1,549,1,4,5200,苏州,,1162.0
28,113,381,01,会计学,非定向,2,523,5,4,5280,净月校区,,2319.0
29,123,801,01,汉语言文学,非定向,2,562,2,4,5520,沈阳蒲河校区,,771.0
30,124,042,01,汉语言文学（师范类）,非定向,3,518,6,4,,天门山校区,,2604.0
31,126,362,01,思想政治教育,非定向,1,501,1,4,,校本部,,3768.0
32,127,754,01,经济学,非定向,50,479,62,4,4400,西校区,,5673.0
33,133,035,01,金融学类,非定向,2,578,3,4,4600,柳林校区,包含专业：金融学、金融工程、信用管理、金融学(证券与期货方向)、投资学,420.0
34,134,711,01,汉语言文学,非定向,2,536,2,4,5175,坞城校区,,1630.0
35,135,006,01,哲学,非定向,3,507,3,4,4400,武侯校区,,3321.0
36,145,277,01,英语,非定向,1,571,1,4,7150,主校区,,548.0
37,147,551,01,外国语言文学类（英语类）,非定向,3,497,3,4,5400,马场道校区,包含专业：英语、翻译、商务英语,4071.0
38,154,029,02,财政学,非定向,4,526,4,4,5000,长安校区,,2140.0
39,155,603,02,工商管理,非定向,1,495,0,4,4800,浙江省温州市,,4212.0
40,166,007,02,政治学与行政学,非定向,2,524,2,4,4500,校本部,,2250.0
41,172,298,02,新闻传播学类,非定向,2,589,3,4,5460,思明校区,包含专业：新闻学、广播电视学、广告学、传播学、国际新闻与传播,247.0
42,174,E63,02,知识产权,非定向,2,506,3,4,5060,,,3407.0
43,175,964,02,财务管理,非定向,1,535,1,4,6500,文翔路校区,,1677.0
44,176,300,02,社会学类,非定向,2,549,2,4,5000,校本部,包含专业：社会学、社会工作、人类学,1162.0
45,177,925,02,国际经济与贸易,非定向,1,534,1,4,4600,观澜湖校区,,1728.0
46,180,061,02,经济学类,非定向,3,585,3,4,5000,北京,大类分流时完全按照志愿进行分流。包含专业：国际经济与贸易、财政学、税收学,301.0
47,183,377,02,历史学,非定向,2,546,2,4,6060,石牌校区,,1254.0
48,184,045,02,经济与贸易类,非定向,5,498,5,4,4500,江北校区,包含专业：贸易经济、国际经济与贸易,3994.0
49,190,303,02,社会科学试验班,非定向,18,583,18,4,,北洋园校区,5200元/年，分流后按专业收费。包含专业：建筑学、城乡规划、工商管理、财务管理、金融学、法学、教育学、马克思主义理论。,336.0
50,192,304,02,中国语言文学类,非定向,1,647,1,4,5000,校本部,包含专业：汉语言文学、汉语言、古典文献学,
51,197,522,02,工商管理类（工商学院）,非定向,4,525,4,4,5000,校本部,包含专业：工商管理、市场营销、电子商务、物流管理,2184.0
52,198,368,02,英语（英语教育）,非定向,2,540,2,4,5000,校本部,英语单科成绩不低于90分。考生双耳听力范围均不低于3米，不能有口吃等言语障碍。,1465.0
53,199,019,02,法学,非定向,13,597,13,4,5000,北京昌平,,169.0
54,206,363,02,法学（航空法）,非定向,1,548,2,4,5200,东丽校区,,1193.0
55,210,875,02,经济学,非定向,2,489,2,4,3500,哈尔滨市,,4718.0
56,212,C98,02,新闻传播学类（中外合作办学）,非定向,5,506,5,4,100000,广东省珠海市,大类招生。广告学专业培养公共关系与广告学方向；传播学专业培养媒体与传播学、媒体艺术与设计、影视学、动画与互动媒体、中华文化与国际传播方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：广告学(中外合作办学)、传播学(中外合作办学),3407.0
57,213,281,02,金融学,非定向,2,536,2,4,5000,校本部,,1630.0
58,214,137,02,经济学类,非定向,2,537,2,4,6500,临港校区,包含专业：经济学(海运与物流经济)、国际经济与贸易、金融学(海运金融)、会计学、会计学(国际会计)、会计学(管理会计)、会计学(ACCA)、财务管理、工商管理、旅游管理、供应链管理,1592.0
59,215,K53,02,国民经济管理（中外合作办学）,非定向,2,588,1,4,60000,苏州校区,合作院校为法国保罗-瓦莱里大学，毕业时可获中法双学位并可赴该校攻读硕士。,264.0
60,216,327,02,汉语言文学（省拔尖人才培养基地）,非定向,1,582,1,4,5200,苏州,,347.0
61,220,754,02,能源经济,非定向,17,469,17,4,4400,西校区,,6732.0
62,222,074,02,社会学类,非定向,2,541,3,4,5500,校本部,包含专业：社会学、社会工作,1432.0
63,223,941,02,经济学,非定向,2,557,2,4,5500,长安校区,基地班,924.0
64,228,E76,02,财务管理（中外合作办学）,非定向,4,528,6,4,100000,宁波,英语单科不低于115分,2023.0
65,229,049,02,财政学类,非定向,2,536,2,4,5200,仙林校区,包含专业：财政学、税收学,1630.0
66,232,B02,02,中医学,非定向,2,551,2,5,7500,长沙市,,1095.0
67,235,441,02,社会学类,非定向,2,567,2,4,6500,宝山校区,该专业代表人文社科类。按类招生，第一学年末进行专业分流。包含专业：哲学、法学、知识产权、社会学、社会工作、汉语言文学、汉语国际教育、新闻学、广播电视学、广告学、网络与新媒体、会展,634.0
68,242,313,02,经济学类,非定向,2,571,2,4,5800,威海校区,包含专业：金融学(证券、银行方向)、金融学(保险方向)、国际经济与贸易,548.0
69,249,551,02,日语,非定向,2,488,2,4,5400,马场道校区,,4799.0
70,252,048,02,经济学,非定向,1,511,1,4,4200,校本部,,3043.0
71,253,564,02,工商管理类,非定向,5,494,3,4,4400,天津市,学校各专业的公共外语课程均为英语，小语种考生慎重填报。包含专业：市场营销、市场营销(国际营销班),4305.0
72,255,F98,02,建筑类（中外合作办学）,非定向,2,525,2,4,88000,,专业课全英文授课，详见招生简章。包含专业：建筑学(中外合作办学)、城乡规划(中外合作办学)、土木工程(中外合作办学),2184.0
73,259,E76,03,传播学（中外合作办学）,非定向,2,526,1,4,100000,宁波,英语单科不低于115分,2140.0
74,260,F98,03,数学类（中外合作办学）,非定向,2,526,2,4,88000,,专业课全英文授课，详见招生简章。包含专业：金融数学(中外合作办学)、精算学(中外合作办学)、数学与应用数学(中外合作办学)、数据科学与大数据技术(中外合作办学),2140.0
75,269,297,03,社会学类,非定向,2,561,3,4,5520,前卫南区,包含专业：社会学、社会工作、劳动与社会保障,797.0
76,280,B02,03,中西医临床医学,非定向,1,547,1,5,7500,长沙市,,1216.0
77,282,737,03,汉语国际教育,非定向,2,507,3,4,4400,主校区,外语语种：英语,3321.0
78,285,007,03,社会学类,非定向,2,489,3,4,4500,校本部,包含专业：社会学、社会工作,4718.0
79,287,020,03,社会学,非定向,2,489,3,4,4500,南湖校区,,4718.0
80,294,298,03,外国语言文学类,非定向,4,586,0,4,5460,思明校区,包含专业：英语、日语、法语、俄语、德语、西班牙语,288.0
81,297,300,03,经济学类,非定向,2,583,2,4,5800,校本部,含经济学拔尖2.0班（薛暮桥班）、彭实戈班、PPE新文科基地班等；不招收单色识别不全考生。包含专业：经济学、财政学、金融学、国际经济与贸易,336.0
82,299,605,03,公共管理类,非定向,5,537,3,4,4400,主校区,包含专业：行政管理、公共事业管理、社会工作、国际政治,1592.0
83,301,612,03,法学,非定向,2,530,2,4,5280,青岛校区,,1911.0
84,302,925,03,法学,非定向,2,556,2,4,4600,海甸校区,一年级在城西基础教学部,942.0
85,312,A08,03,法学（涉外卓越律师人才培养试点班）,非定向,1,562,1,4,6500,校本部,外语单科成绩须不低于105分,771.0
86,317,384,03,法学（经济法）,非定向,1,587,1,4,6500,松江校区,,274.0
