,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
0,855,本科二批第一次,文科,487,呼伦贝尔学院,766,1:1,403,403,487,502,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-608.dhtml,00,英语（师范类）,非定向,6,421,8,4,4200,校本部,英语单科笔试成绩95分以上，口试成绩良好及以上,12842,,内蒙古自治区,呼伦贝尔市
1,856,本科二批第一次,文科,388,内蒙古科技大学包头师范学院,757,1:1,389,389,388,398,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6433938.dhtml,00,法学,非定向,22,461,27,4,4200,校本部,,7653,,内蒙古自治区,包头市
2,858,本科二批第一次,文科,6,西安明德理工学院（民办）,585,1:1,388,388,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-485204.dhtml,00,英语,非定向,2,388,1,4,24000,长安校区,,17390,,陕西省,西安市
3,859,本科二批第一次,文科,32,大连民族大学,021,1:1,438,438,32,36,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-949.dhtml,00,经济学,非定向,1,474,1,4,5200,金石滩校区,,6160,,辽宁省,大连市
4,864,本科二批第一次,文科,6,郑州航空工业管理学院,J36,1:1,433,433,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-382.dhtml,01,工商管理类,非定向,2,473,2,4,4400,龙子湖校区,包含专业：会计学、会计学(注册会计师方向)、财务管理、审计学、工商管理、人力资源管理、市场营销,6260,,河南省,郑州市
5,869,本科二批第一次,文科,23,辽宁师范大学海华学院（独立学院）,F29,1:1,383,383,23,26,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1582.dhtml,01,法学,非定向,3,408,3,4,27500,校本部,,14636,,辽宁省,大连市
6,870,本科二批第一次,文科,2,甘肃民族师范学院,J52,1:1,460,460,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-855.dhtml,01,汉语言文学（师范类）,非定向,2,460,2,4,3800,校本部,,7762,,甘肃省,甘南藏族自治州
7,871,本科二批第一次,文科,25,宁夏理工学院（民办）,973,1:1,382,382,25,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1088.dhtml,01,会计学,非定向,2,408,2,4,22000,校本部,校企合作，详见招生章程,14636,,宁夏回族自治区,中卫市
8,872,本科二批第一次,文科,10,商丘师范学院,322,1:1,414,414,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-380.dhtml,01,汉语言文学（师范类）,非定向,2,465,2,4,4400,梁园校区,,7184,,河南省,商丘市
9,873,本科二批第一次,文科,80,辽宁财贸学院（民办）,H15,1:1,382,382,80,80,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-396816.dhtml,01,经济学,非定向,10,390,11,4,26800,校本部,,17106,,辽宁省,沈阳市
10,874,本科二批第一次,文科,6,西南财经大学天府学院（独立学院）,E55,1:1,416,416,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5397737.dhtml,01,会计学,非定向,4,416,4,4,17000,,前3年在德阳校区，第4年在成都校区,13497,,四川省,成都市
11,879,本科二批第一次,文科,4,西安文理学院,607,1:1,449,449,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-722.dhtml,01,汉语言文学（师范类）,非定向,2,484,2,4,5000,高新校区,,5193,,陕西省,西安市
12,880,本科二批第一次,文科,10,沈阳城市建设学院（民办）,437,1:1,388,388,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1575.dhtml,01,建筑学,非定向,1,388,0,5,27500,校本部,,17390,,辽宁省,沈阳市
13,882,本科二批第一次,文科,6,哈尔滨信息工程学院（民办）,218,1:1,384,384,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-873.dhtml,01,软件工程,非定向,3,384,3,4,26000,校本部,,17992,,黑龙江省,哈尔滨市
14,887,本科二批第一次,文科,3,青岛农业大学海都学院（独立学院）,F65,1:1,384,384,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-442446.dhtml,01,财务管理,非定向,1,414,1,4,17500,校本部,,13783,,山东省,青岛市
15,889,本科二批第一次,文科,6,江西财经大学现代经济管理学院（独立学院）,487,1:1,390,390,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1754.dhtml,01,会计学,非定向,1,424,3,4,13000,校本部,,12423,,江西省,南昌市
16,897,本科二批第一次,文科,45,黑龙江财经学院（民办）,A01,1:1,382,382,45,47,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1642.dhtml,01,经济学,非定向,2,388,2,4,24000,校本部,,17390,,黑龙江省,哈尔滨市
17,899,本科二批第一次,文科,5,江西农业大学南昌商学院（独立学院）,G54,1:1,390,390,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1749.dhtml,01,经济学,非定向,1,391,1,4,13000,共青城市校区,,16961,,江西省,南昌市
