,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
0,855,766,00,英语（师范类）,非定向,6,421,8,4,4200,校本部,英语单科笔试成绩95分以上，口试成绩良好及以上,12842
1,856,757,00,法学,非定向,22,461,27,4,4200,校本部,,7653
2,858,585,00,英语,非定向,2,388,1,4,24000,长安校区,,17390
3,859,021,00,经济学,非定向,1,474,1,4,5200,金石滩校区,,6160
4,864,J36,01,工商管理类,非定向,2,473,2,4,4400,龙子湖校区,包含专业：会计学、会计学(注册会计师方向)、财务管理、审计学、工商管理、人力资源管理、市场营销,6260
5,869,F29,01,法学,非定向,3,408,3,4,27500,校本部,,14636
6,870,J52,01,汉语言文学（师范类）,非定向,2,460,2,4,3800,校本部,,7762
7,871,973,01,会计学,非定向,2,408,2,4,22000,校本部,校企合作，详见招生章程,14636
8,872,322,01,汉语言文学（师范类）,非定向,2,465,2,4,4400,梁园校区,,7184
9,873,H15,01,经济学,非定向,10,390,11,4,26800,校本部,,17106
10,874,E55,01,会计学,非定向,4,416,4,4,17000,,前3年在德阳校区，第4年在成都校区,13497
11,879,607,01,汉语言文学（师范类）,非定向,2,484,2,4,5000,高新校区,,5193
12,880,437,01,建筑学,非定向,1,388,0,5,27500,校本部,,17390
13,882,218,01,软件工程,非定向,3,384,3,4,26000,校本部,,17992
14,887,F65,01,财务管理,非定向,1,414,1,4,17500,校本部,,13783
15,889,487,01,会计学,非定向,1,424,3,4,13000,校本部,,12423
16,897,A01,01,经济学,非定向,2,388,2,4,24000,校本部,,17390
17,899,G54,01,经济学,非定向,1,391,1,4,13000,共青城市校区,,16961
18,901,A33,01,经济学,非定向,2,381,1,4,21500,校本部,,18406
19,907,F37,01,财政学,非定向,2,430,2,4,18000,福建厦门,,11586
20,908,F38,01,英语（师范类）,非定向,2,386,2,4,15000,浉河校区,,17686
21,910,208,01,金融学,非定向,1,481,1,4,5050,,第一、二学年在清远校区就读，第三、四学年在校本部就读,5476
22,915,E03,01,国际经济与贸易,非定向,6,383,8,4,27500,校本部,,18130
23,916,D74,01,国际经济与贸易,非定向,1,385,1,4,46600,北京市顺义区,,17842
24,918,899,01,会计学,非定向,2,436,2,4,15000,校本部,校企合作专业，需另收综合实训培养费2000元/年,10816
25,921,B28,01,汉语言文学（师范类）,非定向,1,465,1,4,4950,南校区,,7184
26,922,D88,01,汉语言文学,非定向,10,408,10,4,27000,主校区,,14636
27,923,G42,01,财务管理,非定向,2,403,2,4,33000,,前两年在宁波杭州湾校区，后两年在本部校区,15309
