,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,ShortfallCount,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,CollegePath,CollegeCity,CollegeLevel,CollegeProvince
0,1,本科二批第二次,理科,6,哈尔滨远东理工学院（民办）,A47,1:1,333,333,6,3,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1645.dhtml,01,计算机类,非定向,1,341,1,4,25800,哈尔滨,包含专业：计算机科学与技术、软件工程,4BA47,哈尔滨市,,黑龙江省
1,2,本科二批第二次,理科,1,山西中医药大学,728,1:1,442,442,1,34,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-606.dhtml,01,中医学,非定向,1,442,1,5,5488,,不招收色弱、色盲考生,4B728,太原市,,山西省
2,3,本科二批第二次,理科,13,长春工业大学人文信息学院（独立学院）,838,1:1,333,333,13,4,9,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,01,机械工程,非定向,3,333,1,4,26000,净月南校区,,4B838,长春市,,吉林省
3,4,本科二批第二次,理科,1,首都师范大学科德学院（独立学院）,C22,1:1,333,333,1,0,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1872.dhtml,01,学前教育,非定向,1,333,0,4,79800,北京市大兴区,,4BC22,北京市,,北京市
4,5,本科二批第二次,理科,12,北京工商大学嘉华学院（独立学院）,C23,1:1,333,333,12,0,12,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1873.dhtml,01,金融学,非定向,2,333,0,4,79800,校本部,,4BC23,北京市,,北京市
5,6,本科二批第二次,理科,1,右江民族医学院,M01,1:1,341,341,1,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-458.dhtml,01,英语,非定向,1,341,1,4,4200,校本部,,4BM01,百色市,,广西壮族自治区
6,7,本科二批第二次,理科,9,南宁学院（民办）,P27,1:1,333,333,9,1,8,,01,智能制造工程,非定向,1,333,0,4,22500,,,4BP27,南宁市,,广西壮族自治区
7,8,本科二批第二次,蒙授理科,1,新疆财经大学,B34,1:1,320,320,1,0,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-599.dhtml,01,金融学,非定向,1,320,0,4,3200,,,4DB34,乌鲁木齐市,,新疆维吾尔自治区
8,9,本科二批第二次,理科,54,内蒙古鸿德文理学院（民办）,E87,1:1,333,333,54,7,47,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46949665.dhtml,01,英语（师范类）,非定向,31,333,6,4,16000,校本部,英语教育方向，英语单科成绩不低于90分,4BE87,呼和浩特市,,内蒙古自治区
9,10,本科二批第二次,理科,1,营口理工学院,K01,1:1,355,355,1,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-587235178.dhtml,01,金融工程,非定向,1,355,1,4,4900,校本部,,4BK01,营口市,,辽宁省
