,fraction,ranking
0,280,74996
1,281,74777
2,282,74568
3,283,74347
4,284,74124
5,285,73924
6,286,73693
7,287,73460
8,288,73211
9,289,72979
10,290,72726
11,291,72457
12,292,72191
13,293,71923
14,294,71679
15,295,71428
16,296,71147
17,297,70873
18,298,70597
19,299,70340
20,300,70077
21,301,69839
22,302,69546
23,303,69304
24,304,69026
25,305,68756
26,306,68487
27,307,68177
28,308,67888
29,309,67604
30,310,67309
31,311,66978
32,312,66684
33,313,66390
34,314,66103
35,315,65832
36,316,65509
37,317,65202
38,318,64922
39,319,64614
40,320,64315
41,321,63991
42,322,63664
43,323,63358
44,324,63057
45,325,62762
46,326,62420
47,327,62094
48,328,61794
49,329,61462
50,330,61130
51,331,60792
52,332,60484
53,333,60194
54,334,59878
55,335,59565
56,336,59238
57,337,58923
58,338,58641
59,339,58308
60,340,57968
61,341,57633
62,342,57291
63,343,56992
64,344,56652
65,345,56309
66,346,55967
67,347,55654
68,348,55317
69,349,54991
70,350,54653
71,351,54340
72,352,54022
73,353,53703
74,354,53362
75,355,53061
76,356,52756
77,357,52414
78,358,52097
79,359,51753
80,360,51427
81,361,51106
82,362,50780
83,363,50485
84,364,50148
85,365,49833
86,366,49484
87,367,49156
88,368,48793
89,369,48492
90,370,48200
91,371,47874
92,372,47568
93,373,47215
94,374,46907
95,375,46577
96,376,46275
97,377,45929
98,378,45586
99,379,45236
100,380,44931
101,381,44650
102,382,44318
103,383,43987
104,384,43684
105,385,43376
106,386,43028
107,387,42684
108,388,42359
109,389,42062
110,390,41749
111,391,41445
112,392,41156
113,393,40811
114,394,40486
115,395,40203
116,396,39906
117,397,39584
118,398,39272
119,399,38969
120,400,38661
121,401,38372
122,402,38067
123,403,37756
124,404,37438
125,405,37146
126,406,36852
127,407,36550
128,408,36258
129,409,35981
130,410,35683
131,411,35394
132,412,35111
133,413,34816
134,414,34546
135,415,34268
136,416,33979
137,417,33673
138,418,33373
139,419,33081
140,420,32783
141,421,32506
142,422,32215
143,423,31938
144,424,31657
145,425,31351
146,426,31095
147,427,30825
148,428,30558
149,429,30293
150,430,30038
151,431,29746
152,432,29476
153,433,29233
154,434,28969
155,435,28711
156,436,28447
157,437,28182
158,438,27899
159,439,27654
160,440,27392
161,441,27107
162,442,26851
163,443,26592
164,444,26317
165,445,26060
166,446,25814
167,447,25578
168,448,25324
169,449,25058
170,450,24795
171,451,24531
172,452,24270
173,453,24028
174,454,23766
175,455,23526
176,456,23253
177,457,23010
178,458,22756
179,459,22507
180,460,22277
181,461,22055
182,462,21823
183,463,21591
184,464,21374
185,465,21120
186,466,20873
187,467,20619
188,468,20373
189,469,20157
190,470,19942
191,471,19717
192,472,19501
193,473,19279
194,474,19047
195,475,18825
196,476,18605
197,477,18379
198,478,18153
199,479,17915
200,480,17694
201,481,17482
202,482,17268
203,483,17058
204,484,16847
205,485,16660
206,486,16455
207,487,16260
208,488,16049
209,489,15879
210,490,15676
211,491,15495
212,492,15281
213,493,15072
214,494,14896
215,495,14714
216,496,14526
217,497,14323
218,498,14116
219,499,13906
220,500,13724
221,501,13516
222,502,13333
223,503,13146
224,504,12966
225,505,12776
226,506,12614
227,507,12440
228,508,12271
229,509,12069
230,510,11901
231,511,11735
232,512,11556
233,513,11404
234,514,11259
235,515,11103
236,516,10915
237,517,10758
238,518,10600
239,519,10442
240,520,10270
241,521,10105
242,522,9977
243,523,9831
244,524,9686
245,525,9522
246,526,9368
247,527,9222
248,528,9081
249,529,8958
250,530,8797
251,531,8650
252,532,8526
253,533,8374
254,534,8226
255,535,8087
256,536,7938
257,537,7812
258,538,7668
259,539,7536
260,540,7381
261,541,7242
262,542,7110
263,543,6993
264,544,6828
265,545,6692
266,546,6565
267,547,6427
268,548,6304
269,549,6181
270,550,6041
271,551,5919
272,552,5791
273,553,5675
274,554,5563
275,555,5442
276,556,5321
277,557,5202
278,558,5099
279,559,5000
280,560,4887
281,561,4764
282,562,4652
283,563,4555
284,564,4469
285,565,4369
286,566,4278
287,567,4177
288,568,4074
289,569,3965
290,570,3883
291,571,3785
292,572,3695
293,573,3609
294,574,3521
295,575,3435
296,576,3358
297,577,3284
298,578,3213
299,579,3129
300,580,3040
301,581,2945
302,582,2862
303,583,2793
304,584,2715
305,585,2643
306,586,2572
307,587,2509
308,588,2436
309,589,2370
310,590,2312
311,591,2250
312,592,2187
313,593,2130
314,594,2078
315,595,2025
316,596,1957
317,597,1889
318,598,1830
319,599,1779
320,600,1729
321,601,1676
322,602,1636
323,603,1585
324,604,1554
325,605,1514
326,606,1464
327,607,1405
328,608,1361
329,609,1317
330,610,1277
331,611,1236
332,612,1197
333,613,1160
334,614,1116
335,615,1085
336,616,1041
337,617,1008
338,618,980
339,619,935
340,620,912
341,621,879
342,622,852
343,623,820
344,624,798
345,625,760
346,626,738
347,627,712
348,628,689
349,629,661
350,630,635
351,631,612
352,632,586
353,633,557
354,634,540
355,635,521
356,636,497
357,637,482
358,638,453
359,639,435
360,640,416
361,641,396
362,642,380
363,643,366
364,644,345
365,645,332
366,646,311
367,647,297
368,648,279
369,649,260
370,650,243
371,651,230
372,652,215
373,653,202
374,654,192
375,655,183
376,656,176
377,657,167
378,658,153
379,659,143
380,660,136
381,661,129
382,662,121
383,663,113
384,664,104
385,665,98
386,666,88
387,667,84
388,668,78
389,669,71
390,670,66
391,671,62
392,672,58
393,673,56
394,674,54
395,675,51
396,676,47
397,677,42
398,678,40
399,679,35
400,680,32
401,682,28
402,684,26
403,685,22
404,686,19
405,687,17
406,688,14
407,691,13
