,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
0,1,本科一批第一次,理科,7,福建师范大学,D11,1:1,460,460,7,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-307.dhtml,00,工商管理类,非定向,4,469,6,4,5460,旗山校区,包含专业：工商管理、财务管理,20157.0,,福建省,福州市
1,2,本科一批第一次,理科,10,西安医学院,222,1:1,459,459,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-936.dhtml,01,临床医学,非定向,2,548,3,5,6500,未央校区,,6304.0,,陕西省,西安市
2,3,本科一批第一次,理科,42,西南财经大学,035,1:1,505,505,42,44,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-503.dhtml,01,金融学类,非定向,4,560,4,4,4600,柳林校区,包含专业：金融学、金融工程、信用管理、金融学(证券与期货方向)、投资学,4887.0,"['211', 'DFC']",四川省,成都市
3,5,本科一批第一次,理科,12,江西中医药大学,433,1:1,434,434,12,11,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-322.dhtml,01,中医学,非定向,3,533,3,5,5220,湾里校区,不予录取有色盲、色弱及其他各类不能准确识别颜色的考生,8374.0,,江西省,南昌市
4,6,本科一批第一次,理科,21,海南医学院,A81,1:1,482,482,21,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-920.dhtml,01,临床医学,非定向,9,516,10,5,6000,校本部,不招色盲色弱考生。,10915.0,,海南省,海口市
5,7,本科一批第一次,理科,16,西安邮电大学,231,1:1,497,497,16,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-887.dhtml,01,通信工程,非定向,2,546,2,4,6480,长安校区,,6565.0,,陕西省,西安市
6,8,本科一批第一次,理科,6,南方医科大学,B54,1:1,518,518,6,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-988.dhtml,01,临床医学（本硕博连读）,非定向,1,635,1,8,7660,大一大二在顺德校区进行书院制培养，大三起在所属学院培养。,不招色盲色弱,521.0,,广东省,广州市
7,9,本科一批第一次,理科,15,福州大学,931,1:1,507,507,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-301.dhtml,01,电气工程及其自动化,非定向,3,549,4,4,5460,福州市旗山校区,"第一学年在福州市铜盘校区培养,专业体检要求详见招生章程",6181.0,"['211', 'DFC']",福建省,福州市
8,10,本科一批第一次,理科,119,南华大学,464,1:1,451,451,119,131,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-427.dhtml,01,机械类,非定向,18,483,21,4,5900,雨母校区,包含专业：机械设计制造及其自动化、智能制造工程、车辆工程、过程装备与控制工程、材料成型及控制工程,17058.0,,湖南省,衡阳市
9,11,本科一批第一次,理科,24,青岛大学,738,1:1,455,455,24,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-709.dhtml,01,环境科学与工程,非定向,2,484,2,4,5500,浮山校区,,16847.0,,山东省,青岛市
