,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
0,131,本科一批第一次,理科,2,上海交通大学医学院,J23,1:1,667,667,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-199.dhtml,84,,上海市,上海市
1,185,本科一批第一次,理科,5,重庆工商大学,045,1:1,456,456,5,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-912.dhtml,23253,,重庆市,重庆市
2,191,本科一批第一次,理科,5,西南石油大学,M30,1:1,487,487,5,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-473.dhtml,16260,['DFC'],四川省,成都市
3,236,本科一批第一次,理科,2,广西医科大学,471,1:1,582,582,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-457.dhtml,2862,,广西壮族自治区,南宁市
4,362,本科一批第一次,理科,2,山西中医药大学,728,1:1,548,548,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-606.dhtml,6304,,山西省,太原市
5,364,本科一批第一次,理科,4,中国人民大学（苏州校区）,K53,1:1,608,608,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml,1317,,江苏省,苏州市
6,408,本科一批第一次,理科,20,广东医科大学,790,1:1,508,508,20,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-436.dhtml,11259,,广东省,湛江市
7,565,本科一批第一次,理科,52,上海理工大学,900,1:1,510,510,52,57,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-201.dhtml,11901,,上海市,上海市
8,619,本科一批第一次,理科,3,中国社会科学院大学,M32,1:1,563,563,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1824984166.dhtml,4555,,北京市,北京市
9,636,本科一批第一次,理科,30,西交利物浦大学,F98,1:1,509,509,30,33,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1228482.dhtml,9686,,江苏省,苏州市
10,648,本科一批第一次,理科,10,重庆邮电大学,233,1:1,550,550,10,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-475.dhtml,6041,,重庆市,重庆市
11,822,本科一批第一次,理科,29,北京大学医学部,330,1:1,639,639,29,38,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6405527.dhtml,435,,北京市,北京市
12,881,本科一批第一次,理科,1,北京外国语大学,276,1:1,569,569,1,1,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27.dhtml,3965,"['211', 'DFC']",北京市,北京市
13,924,本科一批第一次,理科,14,浙江理工大学,442,1:1,477,477,14,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-259.dhtml,18153,,浙江省,杭州市
14,941,本科一批第一次,理科,2,上海应用技术大学,LR7,1:1,505,505,2,3,0,,12776,,上海市,上海市
15,962,本科一批第一次,理科,10,西安医学院,222,1:1,459,459,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-936.dhtml,16455,,陕西省,西安市
16,1080,本科一批第一次,理科,5,安徽医科大学,K05,1:1,464,464,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-282.dhtml,21374,,安徽省,合肥市
17,1107,本科一批第一次,理科,98,东北大学秦皇岛分校,182,1:1,517,517,98,100,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-121.dhtml,3609,,河北省,秦皇岛市
18,1165,本科一批第一次,理科,47,北京师范大学一香港浸会大学联合国际学院,C98,1:1,465,465,47,59,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-398036.dhtml,19279,,广东省,珠海市
19,1196,本科一批第一次,理科,33,山东大学威海分校,313,1:1,549,549,33,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-330.dhtml,2250,,山东省,威海市
20,1219,本科一批第一次,理科,12,江西中医药大学,433,1:1,434,434,12,11,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-322.dhtml,17915,,江西省,南昌市
21,1248,本科一批第一次,理科,54,哈尔滨工程大学,410,1:1,549,549,54,59,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-177.dhtml,6181,"['211', 'DFC']",黑龙江省,哈尔滨市
22,1274,本科一批第一次,理科,19,沈阳药科大学,391,1:1,438,438,19,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-137.dhtml,14323,,辽宁省,沈阳市
23,1284,本科一批第一次,理科,77,北京邮电大学,234,1:1.04,591,567,81,85,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-13.dhtml,2250,"['211', 'DFC']",北京市,北京市
24,1309,本科一批第一次,理科,10,河南师范大学,K11,1:1,435,435,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-373.dhtml,28711,,河南省,新乡市
25,1312,本科一批第一次,理科,19,哈尔滨医科大学,878,1:1,482,482,19,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-184.dhtml,9977,,黑龙江省,哈尔滨市
26,1338,本科一批第一次,理科,25,北京工商大学,047,1:1,494,494,25,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-11.dhtml,14896,,北京市,北京市
27,1359,本科一批第一次,理科,16,东华理工大学,466,1:1,436,436,16,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-316.dhtml,28447,,江西省,抚州市
28,1364,本科一批第一次,理科,29,河北医科大学,581,1:1,466,466,29,31,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-76.dhtml,20873,,河北省,石家庄市
29,1379,本科一批第一次,理科,12,武汉科技大学,177,1:1,519,519,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-385.dhtml,5675,,湖北省,武汉市
30,1417,本科一批第一次,理科,25,西南政法大学,017,1:1,515,515,25,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-504.dhtml,2643,,重庆市,重庆市
31,1423,本科一批第二次,理科,3,福建医科大学,G09,1:1,551,551,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-305.dhtml,5919,,福建省,福州市
32,1427,本科一批第一次,理科,42,合肥工业大学（宣城校区）,J72,1:1,495,495,42,45,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-277.dhtml,13724,,安徽省,宣城市
33,1438,本科一批第一次,理科,36,南京邮电大学,232,1:1,549,549,36,39,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-232.dhtml,4764,['DFC'],江苏省,南京市
34,1466,本科一批第一次,理科,7,华东政法大学,384,1:1,504,504,7,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-217.dhtml,12966,,上海市,上海市
35,1474,本科一批第一次,理科,68,华北电力大学（北京）,134,1:1,546,546,68,74,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91460.dhtml,6427,['DFC'],北京市,北京市
36,1480,本科一批第一次,理科,68,华北电力大学（保定）,131,1:1,524,524,68,70,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-69.dhtml,4278,['DFC'],河北省,保定市
37,1494,本科一批第一次,理科,24,中南财经政法大学,020,1:1,514,514,24,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-402.dhtml,5202,"['211', 'DFC']",湖北省,武汉市
38,1499,本科一批第一次,理科,2,海南大学,LR6,1:1,544,544,2,2,0,,6828,"['211', 'DFC']",海南省,海口市
39,1501,本科一批第一次,理科,5,北京第二外国语学院,368,1:1,491,491,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-28.dhtml,9081,,北京市,北京市
40,1507,本科一批第一次,理科,24,上海财经大学,024,1:1,570,570,24,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-213.dhtml,3883,"['211', 'DFC']",上海市,上海市
41,1524,本科一批第一次,理科,72,中国民用航空飞行学院,362,1:1,466,466,72,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-481.dhtml,17268,,四川省,德阳市
42,1531,本科一批第一次,理科,28,吉林财经大学,381,1:1,441,441,28,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-170.dhtml,26851,,吉林省,长春市
43,1540,本科一批第一次,理科,4,北方工业大学,LN7,1:1,475,475,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-9.dhtml,18825,,北京市,北京市
44,1546,本科一批第一次,理科,2,北京联合大学,530,1:1,493,493,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-799.dhtml,15072,,北京市,北京市
45,1553,本科一批第一次,理科,20,上海海事大学,137,1:1,474,474,20,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-202.dhtml,7381,,上海市,上海市
46,1573,本科一批第一次,理科,2,安徽建筑大学,B92,1:1,494,494,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-658.dhtml,14896,,安徽省,合肥市
47,1593,本科一批第二次,理科,21,海南医学院,A81,1:1,482,482,21,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-920.dhtml,17268,,海南省,海口市
48,1602,本科一批第一次,理科,20,重庆医科大学,883,1:1,458,458,20,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-485.dhtml,22756,,重庆市,重庆市
