,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
0,1,D11,00,工商管理类,非定向,4,469,6,4,5460,旗山校区,包含专业：工商管理、财务管理,20157.0
1,2,222,01,临床医学,非定向,2,548,3,5,6500,未央校区,,6304.0
2,3,035,01,金融学类,非定向,4,560,4,4,4600,柳林校区,包含专业：金融学、金融工程、信用管理、金融学(证券与期货方向)、投资学,4887.0
3,5,433,01,中医学,非定向,3,533,3,5,5220,湾里校区,不予录取有色盲、色弱及其他各类不能准确识别颜色的考生,8374.0
4,6,A81,01,临床医学,非定向,9,516,10,5,6000,校本部,不招色盲色弱考生。,10915.0
5,7,231,01,通信工程,非定向,2,546,2,4,6480,长安校区,,6565.0
6,8,B54,01,临床医学（本硕博连读）,非定向,1,635,1,8,7660,大一大二在顺德校区进行书院制培养，大三起在所属学院培养。,不招色盲色弱,521.0
7,9,931,01,电气工程及其自动化,非定向,3,549,4,4,5460,福州市旗山校区,"第一学年在福州市铜盘校区培养,专业体检要求详见招生章程",6181.0
8,10,464,01,机械类,非定向,18,483,21,4,5900,雨母校区,包含专业：机械设计制造及其自动化、智能制造工程、车辆工程、过程装备与控制工程、材料成型及控制工程,17058.0
9,11,738,01,环境科学与工程,非定向,2,484,2,4,5500,浮山校区,,16847.0
10,12,229,01,智能制造工程,非定向,2,520,2,4,,河西校区,实行学分制收费,10270.0
11,13,745,01,数学类,非定向,2,489,2,4,5950,校本部,包含专业：数学与应用数学、信息与计算科学,15879.0
12,14,964,01,会计学,非定向,4,522,4,4,6500,文翔路校区,,9977.0
13,15,M30,01,石油工程,非定向,3,496,3,4,5200,成都校区,,14526.0
14,17,378,01,哲学（中西人文综合试验班）,非定向,2,475,2,4,5460,厦门校区,只招收有专业志愿的考生,18825.0
15,18,223,01,计算机科学与技术,非定向,2,500,2,4,5500,科学校区,,13724.0
16,20,551,01,外国语言文学类（英语类）,非定向,2,517,2,4,5400,马场道校区,包含专业：英语、翻译、商务英语,10758.0
17,21,399,01,中医学（领军人才培养计划）,非定向,1,639,2,9,5800,良乡校区,,435.0
18,22,525,01,生物技术（实验班）,非定向,2,526,2,4,5000,,第一年在通州校区，第二至四年在平乐园校区，色盲限报,9368.0
19,23,061,01,金融学类,非定向,5,583,5,4,5000,北京,包含专业：金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学(含与大数据专业双学士学位项目),2793.0
20,25,877,01,植物生产类（1）,非定向,8,512,9,4,5000,校本部,包含专业：农学、种子科学与工程,11556.0
21,26,E76,01,国际商务（中外合作办学）,非定向,3,494,3,4,100000,宁波,英语单科不低于115分，含4个专业方向：国际商务管理、国际商务经济学、国际商务与国际传播学、国际商务与法语/德语/西班牙语/日语/汉语。,14896.0
22,28,755,01,动物科学,非定向,69,434,32,4,4600,校本部,含卓越农林计划,28969.0
23,29,250,01,自动化类,非定向,10,556,10,4,5200,校本部,包含专业：自动化、电气工程及其自动化、测控技术与仪器,5321.0
24,30,244,01,土木类,非定向,14,479,16,4,4900,龙山校区,包含专业：土木工程、铁道工程、测绘工程、勘查技术与工程、城市地下空间工程、智能建造,17915.0
25,31,450,01,采矿工程,非定向,4,481,4,4,5200,阜新校区中华路校园,只招男生,17482.0
26,32,099,01,机械设计制造及其自动化,非定向,4,489,4,4,3500,校本部,,15879.0
27,34,171,01,建筑学,非定向,2,509,2,5,6480,雁塔校区,,12069.0
28,35,182,01,经济学类,非定向,10,544,10,4,6240,秦皇岛市,包含专业：经济学、金融学、国际经济与贸易,6828.0
29,36,072,01,农学,非定向,4,472,6,4,5200,主校区,,19501.0
30,37,080,01,机械设计制造及其自动化,非定向,2,527,3,4,5800,新庄校区,,9222.0
31,38,330,01,基础医学（本博连读）,非定向,2,661,3,8,6000,北京市,色盲色弱不予录取,129.0
32,39,145,01,水利水电工程,非定向,4,503,4,4,5500,龙子湖校区,,13146.0
33,40,288,01,食品科学与工程,非定向,3,571,3,4,6380,蠡湖校区,,3785.0
34,41,B25,01,数学与应用数学,非定向,2,504,2,4,5250,未央校区,,12966.0
35,43,219,01,纺织工程,非定向,8,503,9,4,5400,校本部,,13146.0
36,44,160,01,地质学（理科基地班）,非定向,2,554,2,4,5500,校本部,不招色盲、色弱、单色识别不全,5563.0
37,45,883,01,临床医学（5+3一体化）,非定向,1,620,1,5,6250,,不招收色盲色弱，矫正视力不得大于800度；第一年在西南大学培养,912.0
38,46,435,01,安全工程,非定向,2,519,2,4,5200,北京市,,10442.0
39,47,B02,01,中医学（卓越1班、5+3一体化）,非定向,1,586,1,5,7500,长沙市,,2572.0
40,49,210,01,工科试验班（宏德书院）,非定向,2,554,2,4,5000,朝阳校区/昌平校区,包含专业：化学工程与工艺、高分子材料与工程、生物工程,5563.0
41,50,242,01,土木工程,非定向,3,473,4,4,5220,校本部,,19279.0
42,52,237,01,土木工程,非定向,7,539,7,4,4900,犀浦校区,,7536.0
43,53,253,01,材料类,非定向,8,564,12,4,4500,校本部,包含专业：材料成型及控制工程、材料科学与工程、材料物理、材料化学、无机非金属材料工程、高分子材料与工程、复合材料与工程、新能源材料与器件,4469.0
44,54,024,01,会计学,非定向,1,592,1,4,6500,主校区,,2187.0
45,55,097,01,金属材料工程,非定向,2,514,2,4,5500,合肥校区,,11259.0
46,56,670,01,化学工程与工艺（智能化工、精细化学品、电子化学品方向）,非定向,2,451,2,4,5850,校本部,,24531.0
47,58,619,01,临床医学,非定向,5,548,9,5,7900,济南校区,,6304.0
48,59,162,01,地质学类（国家拔尖计划，国家理科基地班）,非定向,1,546,1,4,4500,校本部,色盲色弱考生不能填报。包含专业：地质学,6565.0
49,60,234,01,电子信息类（元班）,非定向,2,633,6,4,5500,,本硕博贯通培养实验班。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区。包含专业：通信工程、电子科学与技术,557.0
50,61,691,01,临床医学,非定向,3,579,4,5,7656,番禺校区,不招色盲色弱,3129.0
51,62,790,01,临床医学,非定向,5,547,5,5,7656,东莞校区,不招色盲色弱,6427.0
52,63,005,01,材料类,非定向,22,434,0,4,4800,银川,包含专业：高分子材料与工程、新能源材料与器件、材料科学与工程、智能材料与结构,28969.0
53,65,148,01,大气科学,非定向,3,549,3,4,6600,崂山校区,,6181.0
54,66,170,01,理科试验班,非定向,4,595,5,4,5000,校本部,前一年半执行特定培养计划，第三学期末自由选专业。完成试验班教学计划综合排名前50%的学生可申请本科直博。包含专业：材料科学与工程、管理科学与工程类、机械类、自动化类、计算机类、通信工程、土木类、安全工程、数学类、应用物理学,2025.0
55,69,594,01,经济学类,非定向,3,512,3,4,5060,开封校区,包含专业：经济学、金融学、财政学、国际经济与贸易,11556.0
56,71,478,01,机械设计制造及其自动化,非定向,4,513,4,4,5850,校本部,,11404.0
57,72,920,01,数学类,非定向,2,545,2,4,5400,龙河校区,包含专业：数学与应用数学、信息与计算科学,6692.0
58,75,362,01,思想政治教育,非定向,1,466,0,4,,校本部,,20873.0
59,76,071,01,植物生产类,非定向,2,516,2,4,3700,北碚校区,包含专业：植物保护、农学、园艺,10915.0
60,78,031,01,经济学,非定向,3,518,4,4,5200,江苏省南京市,,10600.0
61,79,411,01,临床医学,非定向,7,521,12,5,6050,主校区,,10105.0
