,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
0,1027,本科二批第三次,理科,1,首都师范大学科德学院（独立学院）,C22,1:1,333,333,1,0,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1872.dhtml,60194,,北京市,北京市
1,1044,本科二批第一次,理科,4,成都理工大学工程技术学院（独立学院）,A30,1:1,353,353,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1909.dhtml,53703,,四川省,成都市
2,1166,本科二批第一次,理科,5,兰州信息科技学院（民办）,H48,1:1,336,336,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1787.dhtml,59238,,甘肃省,兰州市
3,1267,本科二批第一次,理科,24,辽宁中医药大学杏林学院（独立学院）,D28,1:1,389,389,24,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1854.dhtml,42062,,辽宁省,沈阳市
4,1293,本科二批第一次,理科,4,湖北医药学院药护学院（独立学院）,F30,1:1,368,368,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1605.dhtml,48793,,湖北省,荆门市
5,1373,本科二批第一次,理科,6,长春中医药大学,L94,1:1,388,388,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-162.dhtml,42359,,吉林省,长春市
6,1501,本科二批第一次,理科,2,西安工商学院（民办）,D37,1:1,372,372,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1923.dhtml,47568,,陕西省,西安市
7,1540,本科二批第一次,理科,4,湖北经济学院法商学院（独立学院）,N42,1:1,371,371,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1607.dhtml,47874,,湖北省,武汉市
8,1606,本科二批第一次,理科,2,桂林航天工业学院,479,1:1,381,381,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-926.dhtml,44650,,广西壮族自治区,桂林市
9,1613,本科二批第一次,理科,3,南昌医学院,A67,1:1,428,428,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1750.dhtml,30558,,江西省,南昌市
10,1631,本科二批第一次,理科,3,重庆工商大学,045,1:1,431,431,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-912.dhtml,29746,,重庆市,重庆市
11,1656,本科二批第一次,理科,4,郑州升达经贸管理学院（民办）,J66,1:1,340,340,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-205277833.dhtml,51427,,河南省,郑州市
12,1781,本科二批第一次,理科,2,上海应用技术大学,LR7,1:1,445,445,2,2,0,,26060,,上海市,上海市
13,1802,本科二批第一次,理科,5,川北医学院,M47,1:1,461,461,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-488.dhtml,22055,,四川省,南充市
14,1815,本科二批第一次,理科,3,南华大学船山学院（独立学院）,B89,1:1,364,364,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1157.dhtml,50148,,湖南省,衡阳市
15,1818,本科二批第一次,理科,32,天津商业大学宝德学院（独立学院）,704,1:1,341,341,32,32,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1901.dhtml,48793,,天津市,天津市
16,1827,本科二批第一次,理科,10,晋中学院,014,1:1,375,375,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-102.dhtml,46577,,山西省,晋中市
17,1848,本科二批第一次,理科,2,海南师范大学,L88,1:1,394,394,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-883.dhtml,40486,,海南省,海口市
18,1923,本科二批第一次,理科,15,河北医科大学临床学院（独立学院）,D98,1:1,393,393,15,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1730.dhtml,40811,,河北省,石家庄市
19,1969,本科二批第二次,理科,17,河北北方学院,467,1:1,386,386,17,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-78.dhtml,43028,,河北省,张家口市
20,1982,本科二批第一次,理科,5,邢台学院,456,1:1,369,369,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-88.dhtml,48492,,河北省,邢台市
21,1993,本科二批第一次,理科,14,三峡大学科技学院（独立学院）,446,1:1,339,339,14,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1592.dhtml,52756,,湖北省,宜昌市
22,1995,本科二批第一次,理科,22,西安理工大学高科学院（独立学院）,742,1:1,333,333,22,21,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1131348.dhtml,54991,,陕西省,西安市
23,2036,本科二批第一次,理科,125,哈尔滨剑桥学院（民办）,D81,1:1,333,333,125,134,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1647.dhtml,60194,,黑龙江省,哈尔滨市
24,2056,本科二批第一次,理科,4,长江大学文理学院（独立学院）,C16,1:1,340,340,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1602.dhtml,57968,,湖北省,荆州市
25,2063,本科二批第一次,理科,5,广州航海学院,M03,1:1,364,364,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-732.dhtml,39272,,广东省,广州市
26,2078,本科二批第一次,理科,4,河北地质大学华信学院（独立学院）,M16,1:1,333,333,4,3,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1839.dhtml,59878,,河北省,石家庄市
27,2168,本科二批第三次,理科,28,北京第二外国语学院中瑞酒店管理学院（独立学院）,F89,1:1.05,333,333,30,3,27,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15323559.dhtml,60194,,北京市,北京市
28,2171,本科二批第一次,理科,4,无锡太湖学院（民办）,H51,1:1,341,341,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1821.dhtml,46275,,江苏省,无锡市
29,2195,本科二批第一次,理科,12,邯郸学院,112,1:1,348,348,12,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-87.dhtml,53362,,河北省,邯郸市
30,2216,本科二批第二次,理科,12,桂林医学院,799,1:1,395,395,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-460.dhtml,40203,,广西壮族自治区,桂林市
31,2243,本科二批第一次,理科,5,新乡医学院三全学院（独立学院）,E01,1:1,429,429,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1778.dhtml,30293,,河南省,新乡市
32,2267,本科二批第一次,理科,9,辽宁传媒学院（民办）,D88,1:1,335,335,9,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1242675.dhtml,59565,,辽宁省,沈阳市
33,2283,本科二批第一次,理科,1,上海海关学院,354,1:1,481,481,1,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-215.dhtml,17482,,上海市,上海市
34,2306,本科二批第一次,理科,5,湖北医药学院,865,1:1,429,429,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-670.dhtml,20619,,湖北省,十堰市
35,2363,本科二批第一次,理科,17,沈阳体育学院,336,1:1,353,353,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-147.dhtml,53703,,辽宁省,沈阳市
36,2365,本科二批第二次,理科,4,贵州医科大学,748,1:1,485,485,4,36,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-510.dhtml,16660,,贵州省,贵阳市
37,2380,本科二批第二次,理科,4,江西财经大学现代经济管理学院（独立学院）,487,1:1,335,335,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1754.dhtml,59565,,江西省,南昌市
38,2403,本科二批第一次,理科,34,哈尔滨远东理工学院（民办）,A47,1:1,333,333,34,29,5,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1645.dhtml,56652,,黑龙江省,哈尔滨市
39,2404,本科二批第一次,理科,21,佳木斯大学,882,1:1,349,349,21,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-180.dhtml,53061,,黑龙江省,佳木斯市
40,2410,本科二批第三次,理科,22,齐齐哈尔工程学院（民办）,889,1:1,333,333,22,14,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1212.dhtml,60194,,黑龙江省,齐齐哈尔市
41,2448,本科二批第一次,理科,19,吉林体育学院,835,1:1,334,334,19,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-171.dhtml,56992,,吉林省,长春市
42,2467,本科二批第二次,理科,5,郑州商学院（民办）,E11,1:1,333,333,5,4,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1131282.dhtml,60194,,河南省,郑州市
43,2482,本科二批第二次,理科,15,成都体育学院,335,1:1,368,368,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-505.dhtml,48793,,四川省,成都市
44,2485,本科二批第一次,理科,43,内蒙古工业大学,L05,1:1,389,389,43,45,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-109.dhtml,42062,,内蒙古自治区,呼和浩特市
45,2497,本科二批第二次,理科,13,昆明医科大学海源学院（独立学院）,A23,1:1,390,390,13,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1667.dhtml,41749,,云南省,昆明市
46,2517,本科二批第一次,理科,3,成都信息工程大学,358,1:1,472,472,3,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-478.dhtml,15072,,四川省,成都市
47,2530,本科二批第一次,理科,40,哈尔滨华德学院（民办）,451,1:1,333,333,40,40,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1650.dhtml,60194,,黑龙江省,哈尔滨市
48,2534,本科二批第一次,理科,23,吉林警察学院,196,1:1,406,406,23,26,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-812.dhtml,29233,,吉林省,长春市
49,2552,本科二批第一次,理科,10,沈阳医学院,824,1:1,369,369,10,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-138.dhtml,48492,,辽宁省,沈阳市
50,2582,本科二批第一次,理科,3,安徽医科大学,K05,1:1,436,436,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-282.dhtml,28447,,安徽省,合肥市
51,2611,本科二批第一次,理科,76,辽宁财贸学院（民办）,H15,1:1,333,333,76,68,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-396816.dhtml,60194,,辽宁省,沈阳市
